demand_id,demand_date,plant_id,material_id,customer_id,product_id,required_qty,demand_type
31,2025-02-12,PLT-OH1,,CUST-001,FS7-500W,355,Customer Order
32,2025-02-13,PLT-OH1,,CUST-001,FS7-500W,331,Customer Order
33,2025-02-14,PLT-OH1,,CUST-001,FS7-500W,345,Customer Order
34,2025-02-17,PLT-OH1,,CUST-001,FS7-500W,336,Customer Order
35,2025-02-18,PLT-OH1,,CUST-001,FS7-500W,315,Customer Order
36,2025-02-19,PLT-OH1,,CUST-001,FS7-500W,338,Customer Order
37,2025-02-20,PLT-OH1,,CUST-001,FS7-500W,356,Customer Order
38,2025-02-21,PLT-OH1,,CUST-001,FS7-500W,302,Customer Order
39,2025-02-24,PLT-OH1,,CUST-001,FS7-500W,344,Customer Order
40,2025-02-25,PLT-OH1,,CUST-001,FS7-500W,323,Customer Order
41,2025-02-26,PLT-OH1,,CUST-001,FS7-500W,319,Customer Order
42,2025-02-27,PLT-OH1,,CUST-001,FS7-500W,315,Customer Order
43,2025-02-28,PLT-OH1,,CUST-001,FS7-500W,338,Customer Order
44,2025-03-03,PLT-OH1,,CUST-001,FS7-500W,312,Customer Order
45,2025-03-04,PLT-OH1,,CUST-001,FS7-500W,358,Customer Order
46,2025-03-05,PLT-OH1,,CUST-001,FS7-500W,356,Customer Order
47,2025-03-06,PLT-OH1,,CUST-001,FS7-500W,297,Customer Order
48,2025-03-07,PLT-OH1,,CUST-001,FS7-500W,360,Customer Order
49,2025-03-10,PLT-OH1,,CUST-001,FS7-500W,310,Customer Order
50,2025-03-11,PLT-OH1,,CUST-001,FS7-500W,327,Customer Order
51,2025-03-12,PLT-OH1,,CUST-001,FS7-500W,339,Customer Order
52,2025-03-13,PLT-OH1,,CUST-001,FS7-500W,320,Customer Order
53,2025-03-14,PLT-OH1,,CUST-001,FS7-500W,293,Customer Order
54,2025-03-17,PLT-OH1,,CUST-001,FS7-500W,358,Customer Order
55,2025-03-18,PLT-OH1,,CUST-001,FS7-500W,305,Customer Order
56,2025-03-19,PLT-OH1,,CUST-001,FS7-500W,307,Customer Order
57,2025-03-20,PLT-OH1,,CUST-001,FS7-500W,354,Customer Order
58,2025-03-21,PLT-OH1,,CUST-001,FS7-500W,317,Customer Order
59,2025-03-24,PLT-OH1,,CUST-001,FS7-500W,360,Customer Order
60,2025-03-25,PLT-OH1,,CUST-001,FS7-500W,346,Customer Order
61,2025-03-26,PLT-OH1,,CUST-001,FS7-500W,312,Customer Order
62,2025-03-27,PLT-OH1,,CUST-001,FS7-500W,291,Customer Order
63,2025-03-28,PLT-OH1,,CUST-001,FS7-500W,365,Customer Order
64,2025-03-31,PLT-OH1,,CUST-001,FS7-500W,297,Customer Order
65,2025-04-01,PLT-OH1,,CUST-001,FS7-500W,382,Customer Order
66,2025-04-02,PLT-OH1,,CUST-001,FS7-500W,362,Forecast
67,2025-04-03,PLT-OH1,,CUST-001,FS7-500W,385,Forecast
68,2025-04-04,PLT-OH1,,CUST-001,FS7-500W,380,Forecast
69,2025-04-07,PLT-OH1,,CUST-001,FS7-500W,376,Forecast
70,2025-04-08,PLT-OH1,,CUST-001,FS7-500W,362,Forecast
71,2025-04-09,PLT-OH1,,CUST-001,FS7-500W,389,Forecast
72,2025-04-10,PLT-OH1,,CUST-001,FS7-500W,328,Forecast
73,2025-04-11,PLT-OH1,,CUST-001,FS7-500W,339,Forecast
74,2025-04-14,PLT-OH1,,CUST-001,FS7-500W,380,Forecast
75,2025-04-15,PLT-OH1,,CUST-001,FS7-500W,346,Forecast
76,2025-04-16,PLT-OH1,,CUST-001,FS7-500W,370,Forecast
77,2025-04-17,PLT-OH1,,CUST-001,FS7-500W,361,Forecast
78,2025-04-18,PLT-OH1,,CUST-001,FS7-500W,366,Forecast
79,2025-04-21,PLT-OH1,,CUST-001,FS7-500W,357,Forecast
80,2025-04-22,PLT-OH1,,CUST-001,FS7-500W,384,Forecast
81,2025-04-23,PLT-OH1,,CUST-001,FS7-500W,348,Forecast
82,2025-04-24,PLT-OH1,,CUST-001,FS7-500W,381,Forecast
83,2025-04-25,PLT-OH1,,CUST-001,FS7-500W,343,Forecast
84,2025-04-28,PLT-OH1,,CUST-001,FS7-500W,341,Forecast
85,2025-04-29,PLT-OH1,,CUST-001,FS7-500W,330,Forecast
86,2025-04-30,PLT-OH1,,CUST-001,FS7-500W,336,Forecast
87,2025-05-01,PLT-OH1,,CUST-001,FS7-500W,330,Forecast
88,2025-05-02,PLT-OH1,,CUST-001,FS7-500W,366,Forecast
89,2025-05-05,PLT-OH1,,CUST-001,FS7-500W,386,Forecast
90,2025-05-06,PLT-OH1,,CUST-001,FS7-500W,336,Forecast
91,2025-05-07,PLT-OH1,,CUST-001,FS7-500W,338,Forecast
92,2025-05-08,PLT-OH1,,CUST-001,FS7-500W,362,Forecast
93,2025-05-09,PLT-OH1,,CUST-001,FS7-500W,383,Forecast
94,2025-05-12,PLT-OH1,,CUST-001,FS7-500W,405,Forecast
95,2025-05-13,PLT-OH1,,CUST-001,FS7-500W,365,Forecast
96,2025-05-14,PLT-OH1,,CUST-001,FS7-500W,344,Forecast
97,2025-05-15,PLT-OH1,,CUST-001,FS7-500W,328,Forecast
98,2025-05-16,PLT-OH1,,CUST-001,FS7-500W,336,Forecast
99,2025-05-19,PLT-OH1,,CUST-001,FS7-500W,339,Forecast
100,2025-05-20,PLT-OH1,,CUST-001,FS7-500W,335,Forecast
101,2025-05-21,PLT-OH1,,CUST-001,FS7-500W,321,Forecast
102,2025-05-22,PLT-OH1,,CUST-001,FS7-500W,366,Forecast
103,2025-05-23,PLT-OH1,,CUST-001,FS7-500W,343,Forecast
104,2025-05-26,PLT-OH1,,CUST-001,FS7-500W,404,Forecast
105,2025-05-27,PLT-OH1,,CUST-001,FS7-500W,368,Forecast
106,2025-05-28,PLT-OH1,,CUST-001,FS7-500W,380,Forecast
107,2025-05-29,PLT-OH1,,CUST-001,FS7-500W,330,Forecast
108,2025-05-30,PLT-OH1,,CUST-001,FS7-500W,395,Forecast
109,2025-06-02,PLT-OH1,,CUST-001,FS7-500W,342,Forecast
110,2025-06-03,PLT-OH1,,CUST-001,FS7-500W,374,Forecast
111,2025-06-04,PLT-OH1,,CUST-001,FS7-500W,349,Forecast
112,2025-06-05,PLT-OH1,,CUST-001,FS7-500W,341,Forecast
113,2025-06-06,PLT-OH1,,CUST-001,FS7-500W,338,Forecast
114,2025-06-09,PLT-OH1,,CUST-001,FS7-500W,317,Forecast
115,2025-06-10,PLT-OH1,,CUST-001,FS7-500W,306,Forecast
116,2025-06-11,PLT-OH1,,CUST-001,FS7-500W,380,Forecast
117,2025-06-12,PLT-OH1,,CUST-001,FS7-500W,341,Forecast
118,2025-06-13,PLT-OH1,,CUST-001,FS7-500W,370,Forecast
119,2025-06-16,PLT-OH1,,CUST-001,FS7-500W,335,Forecast
120,2025-06-17,PLT-OH1,,CUST-001,FS7-500W,308,Forecast
121,2025-06-18,PLT-OH1,,CUST-001,FS7-500W,354,Forecast
122,2025-06-19,PLT-OH1,,CUST-001,FS7-500W,306,Forecast
123,2025-06-20,PLT-OH1,,CUST-001,FS7-500W,314,Forecast
124,2025-06-23,PLT-OH1,,CUST-001,FS7-500W,348,Forecast
125,2025-06-24,PLT-OH1,,CUST-001,FS7-500W,327,Forecast
126,2025-06-25,PLT-OH1,,CUST-001,FS7-500W,384,Forecast
127,2025-06-26,PLT-OH1,,CUST-001,FS7-500W,312,Forecast
128,2025-06-27,PLT-OH1,,CUST-001,FS7-500W,365,Forecast
129,2025-06-30,PLT-OH1,,CUST-001,FS7-500W,352,Forecast
130,2025-01-01,PLT-OH1,,CUST-001,FS7-500W,404,Customer Order
131,2025-01-02,PLT-OH1,,CUST-001,FS7-500W,353,Customer Order
132,2025-01-03,PLT-OH1,,CUST-001,FS7-500W,380,Customer Order
133,2025-01-06,PLT-OH1,,CUST-001,FS7-500W,373,Customer Order
134,2025-01-07,PLT-OH1,,CUST-001,FS7-500W,372,Customer Order
135,2025-01-08,PLT-OH1,,CUST-001,FS7-500W,410,Customer Order
136,2025-01-09,PLT-OH1,,CUST-001,FS7-500W,422,Customer Order
137,2025-01-10,PLT-OH1,,CUST-001,FS7-500W,360,Customer Order
138,2025-01-13,PLT-OH1,,CUST-001,FS7-500W,389,Customer Order
139,2025-01-14,PLT-OH1,,CUST-001,FS7-500W,388,Customer Order
140,2025-01-15,PLT-OH1,,CUST-001,FS7-500W,399,Customer Order
141,2025-01-16,PLT-OH1,,CUST-001,FS7-500W,418,Customer Order
142,2025-01-17,PLT-OH1,,CUST-001,FS7-500W,351,Customer Order
143,2025-01-20,PLT-OH1,,CUST-001,FS7-500W,351,Customer Order
144,2025-01-21,PLT-OH1,,CUST-001,FS7-500W,392,Customer Order
145,2025-01-22,PLT-OH1,,CUST-001,FS7-500W,347,Customer Order
146,2025-01-23,PLT-OH1,,CUST-001,FS7-500W,348,Customer Order
147,2025-01-24,PLT-OH1,,CUST-001,FS7-500W,339,Customer Order
148,2025-01-27,PLT-OH1,,CUST-001,FS7-500W,333,Customer Order
149,2025-01-28,PLT-OH1,,CUST-001,FS7-500W,373,Customer Order
150,2025-01-29,PLT-OH1,,CUST-001,FS7-500W,386,Customer Order
151,2025-01-30,PLT-OH1,,CUST-001,FS7-500W,359,Customer Order
152,2025-01-31,PLT-OH1,,CUST-001,FS7-500W,353,Customer Order
153,2025-02-03,PLT-OH1,,CUST-001,FS7-500W,413,Customer Order
154,2025-02-04,PLT-OH1,,CUST-001,FS7-500W,413,Customer Order
155,2025-02-05,PLT-OH1,,CUST-001,FS7-500W,389,Customer Order
156,2025-02-06,PLT-OH1,,CUST-001,FS7-500W,412,Customer Order
157,2025-02-07,PLT-OH1,,CUST-001,FS7-500W,434,Customer Order
158,2025-02-10,PLT-OH1,,CUST-001,FS7-500W,421,Customer Order
159,2025-02-11,PLT-OH1,,CUST-001,FS7-500W,406,Customer Order
160,2025-02-12,PLT-OH1,,CUST-001,FS7-500W,409,Customer Order
161,2025-02-13,PLT-OH1,,CUST-001,FS7-500W,435,Customer Order
162,2025-02-14,PLT-OH1,,CUST-001,FS7-500W,387,Customer Order
163,2025-02-17,PLT-OH1,,CUST-001,FS7-500W,398,Customer Order
164,2025-02-18,PLT-OH1,,CUST-001,FS7-500W,408,Customer Order
165,2025-02-19,PLT-OH1,,CUST-001,FS7-500W,432,Customer Order
166,2025-02-20,PLT-OH1,,CUST-001,FS7-500W,425,Customer Order
167,2025-02-21,PLT-OH1,,CUST-001,FS7-500W,353,Customer Order
168,2025-02-24,PLT-OH1,,CUST-001,FS7-500W,362,Customer Order
169,2025-02-25,PLT-OH1,,CUST-001,FS7-500W,376,Customer Order
170,2025-02-26,PLT-OH1,,CUST-001,FS7-500W,417,Customer Order
171,2025-02-27,PLT-OH1,,CUST-001,FS7-500W,400,Customer Order
172,2025-02-28,PLT-OH1,,CUST-001,FS7-500W,374,Customer Order
173,2025-03-03,PLT-OH1,,CUST-001,FS7-500W,369,Customer Order
174,2025-03-04,PLT-OH1,,CUST-001,FS7-500W,424,Customer Order
175,2025-03-05,PLT-OH1,,CUST-001,FS7-500W,425,Customer Order
176,2025-03-06,PLT-OH1,,CUST-001,FS7-500W,449,Customer Order
177,2025-03-07,PLT-OH1,,CUST-001,FS7-500W,406,Customer Order
178,2025-03-10,PLT-OH1,,CUST-001,FS7-500W,405,Customer Order
179,2025-03-11,PLT-OH1,,CUST-001,FS7-500W,365,Customer Order
180,2025-03-12,PLT-OH1,,CUST-001,FS7-500W,361,Customer Order
181,2025-03-13,PLT-OH1,,CUST-001,FS7-500W,399,Customer Order
182,2025-03-14,PLT-OH1,,CUST-001,FS7-500W,389,Customer Order
183,2025-03-17,PLT-OH1,,CUST-001,FS7-500W,382,Customer Order
184,2025-03-18,PLT-OH1,,CUST-001,FS7-500W,366,Customer Order
185,2025-03-19,PLT-OH1,,CUST-001,FS7-500W,451,Customer Order
186,2025-03-20,PLT-OH1,,CUST-001,FS7-500W,439,Customer Order
187,2025-03-21,PLT-OH1,,CUST-001,FS7-500W,413,Customer Order
188,2025-03-24,PLT-OH1,,CUST-001,FS7-500W,450,Customer Order
189,2025-03-25,PLT-OH1,,CUST-001,FS7-500W,455,Customer Order
190,2025-03-26,PLT-OH1,,CUST-001,FS7-500W,423,Customer Order
191,2025-03-27,PLT-OH1,,CUST-001,FS7-500W,384,Customer Order
192,2025-03-28,PLT-OH1,,CUST-001,FS7-500W,361,Customer Order
193,2025-03-31,PLT-OH1,,CUST-001,FS7-500W,431,Customer Order
194,2025-04-01,PLT-OH1,,CUST-001,FS7-500W,443,Customer Order
195,2025-04-02,PLT-OH1,,CUST-001,FS7-500W,463,Forecast
196,2025-04-03,PLT-OH1,,CUST-001,FS7-500W,491,Forecast
197,2025-04-04,PLT-OH1,,CUST-001,FS7-500W,412,Forecast
198,2025-04-07,PLT-OH1,,CUST-001,FS7-500W,456,Forecast
199,2025-04-08,PLT-OH1,,CUST-001,FS7-500W,461,Forecast
200,2025-04-09,PLT-OH1,,CUST-001,FS7-500W,446,Forecast
201,2025-04-10,PLT-OH1,,CUST-001,FS7-500W,403,Forecast
202,2025-04-11,PLT-OH1,,CUST-001,FS7-500W,430,Forecast
203,2025-04-14,PLT-OH1,,CUST-001,FS7-500W,429,Forecast
204,2025-04-15,PLT-OH1,,CUST-001,FS7-500W,465,Forecast
205,2025-04-16,PLT-OH1,,CUST-001,FS7-500W,485,Forecast
206,2025-04-17,PLT-OH1,,CUST-001,FS7-500W,428,Forecast
207,2025-04-18,PLT-OH1,,CUST-001,FS7-500W,467,Forecast
208,2025-04-21,PLT-OH1,,CUST-001,FS7-500W,424,Forecast
209,2025-04-22,PLT-OH1,,CUST-001,FS7-500W,494,Forecast
210,2025-04-23,PLT-OH1,,CUST-001,FS7-500W,480,Forecast
211,2025-04-24,PLT-OH1,,CUST-001,FS7-500W,452,Forecast
212,2025-04-25,PLT-OH1,,CUST-001,FS7-500W,442,Forecast
213,2025-04-28,PLT-OH1,,CUST-001,FS7-500W,427,Forecast
214,2025-04-29,PLT-OH1,,CUST-001,FS7-500W,428,Forecast
215,2025-04-30,PLT-OH1,,CUST-001,FS7-500W,497,Forecast
216,2025-05-01,PLT-OH1,,CUST-001,FS7-500W,436,Forecast
217,2025-05-02,PLT-OH1,,CUST-001,FS7-500W,448,Forecast
218,2025-05-05,PLT-OH1,,CUST-001,FS7-500W,499,Forecast
219,2025-05-06,PLT-OH1,,CUST-001,FS7-500W,464,Forecast
220,2025-05-07,PLT-OH1,,CUST-001,FS7-500W,451,Forecast
221,2025-05-08,PLT-OH1,,CUST-001,FS7-500W,437,Forecast
222,2025-05-09,PLT-OH1,,CUST-001,FS7-500W,413,Forecast
223,2025-05-12,PLT-OH1,,CUST-001,FS7-500W,432,Forecast
224,2025-05-13,PLT-OH1,,CUST-001,FS7-500W,474,Forecast
225,2025-05-14,PLT-OH1,,CUST-001,FS7-500W,460,Forecast
226,2025-05-15,PLT-OH1,,CUST-001,FS7-500W,474,Forecast
227,2025-05-16,PLT-OH1,,CUST-001,FS7-500W,415,Forecast
228,2025-05-19,PLT-OH1,,CUST-001,FS7-500W,452,Forecast
229,2025-05-20,PLT-OH1,,CUST-001,FS7-500W,492,Forecast
230,2025-05-21,PLT-OH1,,CUST-001,FS7-500W,440,Forecast
231,2025-05-22,PLT-OH1,,CUST-001,FS7-500W,468,Forecast
232,2025-05-23,PLT-OH1,,CUST-001,FS7-500W,406,Forecast
233,2025-05-26,PLT-OH1,,CUST-001,FS7-500W,497,Forecast
234,2025-05-27,PLT-OH1,,CUST-001,FS7-500W,458,Forecast
235,2025-05-28,PLT-OH1,,CUST-001,FS7-500W,419,Forecast
236,2025-05-29,PLT-OH1,,CUST-001,FS7-500W,410,Forecast
237,2025-05-30,PLT-OH1,,CUST-001,FS7-500W,452,Forecast
238,2025-06-02,PLT-OH1,,CUST-001,FS7-500W,428,Forecast
239,2025-06-03,PLT-OH1,,CUST-001,FS7-500W,381,Forecast
240,2025-06-04,PLT-OH1,,CUST-001,FS7-500W,472,Forecast
241,2025-06-05,PLT-OH1,,CUST-001,FS7-500W,464,Forecast
242,2025-06-06,PLT-OH1,,CUST-001,FS7-500W,418,Forecast
243,2025-06-09,PLT-OH1,,CUST-001,FS7-500W,383,Forecast
244,2025-06-10,PLT-OH1,,CUST-001,FS7-500W,456,Forecast
245,2025-06-11,PLT-OH1,,CUST-001,FS7-500W,422,Forecast
246,2025-06-12,PLT-OH1,,CUST-001,FS7-500W,444,Forecast
247,2025-06-13,PLT-OH1,,CUST-001,FS7-500W,423,Forecast
248,2025-06-16,PLT-OH1,,CUST-001,FS7-500W,399,Forecast
249,2025-06-17,PLT-OH1,,CUST-001,FS7-500W,456,Forecast
250,2025-06-18,PLT-OH1,,CUST-001,FS7-500W,471,Forecast
251,2025-06-19,PLT-OH1,,CUST-001,FS7-500W,396,Forecast
252,2025-06-20,PLT-OH1,,CUST-001,FS7-500W,427,Forecast
253,2025-06-23,PLT-OH1,,CUST-001,FS7-500W,410,Forecast
254,2025-06-24,PLT-OH1,,CUST-001,FS7-500W,465,Forecast
255,2025-06-25,PLT-OH1,,CUST-001,FS7-500W,423,Forecast
256,2025-06-26,PLT-OH1,,CUST-001,FS7-500W,461,Forecast
257,2025-06-27,PLT-OH1,,CUST-001,FS7-500W,459,Forecast
258,2025-06-30,PLT-OH1,,CUST-001,FS7-500W,400,Forecast
259,2025-01-01,PLT-OH1,,CUST-001,FS6-450W,374,Customer Order
260,2025-01-02,PLT-OH1,,CUST-001,FS6-450W,342,Customer Order
261,2025-01-03,PLT-OH1,,CUST-001,FS6-450W,386,Customer Order
262,2025-01-06,PLT-OH1,,CUST-001,FS6-450W,350,Customer Order
263,2025-01-07,PLT-OH1,,CUST-001,FS6-450W,376,Customer Order
264,2025-01-08,PLT-OH1,,CUST-001,FS6-450W,331,Customer Order
265,2025-01-09,PLT-OH1,,CUST-001,FS6-450W,333,Customer Order
266,2025-01-10,PLT-OH1,,CUST-001,FS6-450W,357,Customer Order
267,2025-01-13,PLT-OH1,,CUST-001,FS6-450W,391,Customer Order
268,2025-01-14,PLT-OH1,,CUST-001,FS6-450W,349,Customer Order
269,2025-01-15,PLT-OH1,,CUST-001,FS6-450W,320,Customer Order
270,2025-01-16,PLT-OH1,,CUST-001,FS6-450W,353,Customer Order
271,2025-01-17,PLT-OH1,,CUST-001,FS6-450W,336,Customer Order
272,2025-01-20,PLT-OH1,,CUST-001,FS6-450W,354,Customer Order
273,2025-01-21,PLT-OH1,,CUST-001,FS6-450W,353,Customer Order
274,2025-01-22,PLT-OH1,,CUST-001,FS6-450W,346,Customer Order
275,2025-01-23,PLT-OH1,,CUST-001,FS6-450W,334,Customer Order
276,2025-01-24,PLT-OH1,,CUST-001,FS6-450W,323,Customer Order
277,2025-01-27,PLT-OH1,,CUST-001,FS6-450W,366,Customer Order
278,2025-01-28,PLT-OH1,,CUST-001,FS6-450W,355,Customer Order
279,2025-01-29,PLT-OH1,,CUST-001,FS6-450W,327,Customer Order
280,2025-01-30,PLT-OH1,,CUST-001,FS6-450W,373,Customer Order
281,2025-01-31,PLT-OH1,,CUST-001,FS6-450W,311,Customer Order
282,2025-02-03,PLT-OH1,,CUST-001,FS6-450W,386,Customer Order
283,2025-02-04,PLT-OH1,,CUST-001,FS6-450W,382,Customer Order
284,2025-02-05,PLT-OH1,,CUST-001,FS6-450W,392,Customer Order
285,2025-02-06,PLT-OH1,,CUST-001,FS6-450W,354,Customer Order
286,2025-02-07,PLT-OH1,,CUST-001,FS6-450W,379,Customer Order
287,2025-02-10,PLT-OH1,,CUST-001,FS6-450W,392,Customer Order
288,2025-02-11,PLT-OH1,,CUST-001,FS6-450W,406,Customer Order
289,2025-02-12,PLT-OH1,,CUST-001,FS6-450W,364,Customer Order
290,2025-02-13,PLT-OH1,,CUST-001,FS6-450W,324,Customer Order
291,2025-02-14,PLT-OH1,,CUST-001,FS6-450W,365,Customer Order
292,2025-02-17,PLT-OH1,,CUST-001,FS6-450W,372,Customer Order
293,2025-02-18,PLT-OH1,,CUST-001,FS6-450W,397,Customer Order
294,2025-02-19,PLT-OH1,,CUST-001,FS6-450W,397,Customer Order
295,2025-02-20,PLT-OH1,,CUST-001,FS6-450W,359,Customer Order
296,2025-02-21,PLT-OH1,,CUST-001,FS6-450W,367,Customer Order
297,2025-02-24,PLT-OH1,,CUST-001,FS6-450W,361,Customer Order
298,2025-02-25,PLT-OH1,,CUST-001,FS6-450W,384,Customer Order
299,2025-02-26,PLT-OH1,,CUST-001,FS6-450W,357,Customer Order
300,2025-02-27,PLT-OH1,,CUST-001,FS6-450W,378,Customer Order
301,2025-02-28,PLT-OH1,,CUST-001,FS6-450W,334,Customer Order
302,2025-03-03,PLT-OH1,,CUST-001,FS6-450W,373,Customer Order
303,2025-03-04,PLT-OH1,,CUST-001,FS6-450W,418,Customer Order
304,2025-03-05,PLT-OH1,,CUST-001,FS6-450W,361,Customer Order
305,2025-03-06,PLT-OH1,,CUST-001,FS6-450W,393,Customer Order
306,2025-03-07,PLT-OH1,,CUST-001,FS6-450W,389,Customer Order
307,2025-03-10,PLT-OH1,,CUST-001,FS6-450W,407,Customer Order
308,2025-03-11,PLT-OH1,,CUST-001,FS6-450W,407,Customer Order
309,2025-03-12,PLT-OH1,,CUST-001,FS6-450W,408,Customer Order
310,2025-03-13,PLT-OH1,,CUST-001,FS6-450W,365,Customer Order
311,2025-03-14,PLT-OH1,,CUST-001,FS6-450W,359,Customer Order
312,2025-03-17,PLT-OH1,,CUST-001,FS6-450W,395,Customer Order
313,2025-03-18,PLT-OH1,,CUST-001,FS6-450W,399,Customer Order
314,2025-03-19,PLT-OH1,,CUST-001,FS6-450W,409,Customer Order
315,2025-03-20,PLT-OH1,,CUST-001,FS6-450W,334,Customer Order
316,2025-03-21,PLT-OH1,,CUST-001,FS6-450W,337,Customer Order
317,2025-03-24,PLT-OH1,,CUST-001,FS6-450W,388,Customer Order
318,2025-03-25,PLT-OH1,,CUST-001,FS6-450W,414,Customer Order
319,2025-03-26,PLT-OH1,,CUST-001,FS6-450W,421,Customer Order
320,2025-03-27,PLT-OH1,,CUST-001,FS6-450W,398,Customer Order
321,2025-03-28,PLT-OH1,,CUST-001,FS6-450W,370,Customer Order
322,2025-03-31,PLT-OH1,,CUST-001,FS6-450W,339,Customer Order
323,2025-04-01,PLT-OH1,,CUST-001,FS6-450W,427,Customer Order
324,2025-04-02,PLT-OH1,,CUST-001,FS6-450W,450,Forecast
325,2025-04-03,PLT-OH1,,CUST-001,FS6-450W,408,Forecast
326,2025-04-04,PLT-OH1,,CUST-001,FS6-450W,433,Forecast
327,2025-04-07,PLT-OH1,,CUST-001,FS6-450W,453,Forecast
328,2025-04-08,PLT-OH1,,CUST-001,FS6-450W,368,Forecast
329,2025-04-09,PLT-OH1,,CUST-001,FS6-450W,443,Forecast
330,2025-04-10,PLT-OH1,,CUST-001,FS6-450W,393,Forecast
331,2025-04-11,PLT-OH1,,CUST-001,FS6-450W,401,Forecast
332,2025-04-14,PLT-OH1,,CUST-001,FS6-450W,378,Forecast
333,2025-04-15,PLT-OH1,,CUST-001,FS6-450W,416,Forecast
334,2025-04-16,PLT-OH1,,CUST-001,FS6-450W,420,Forecast
335,2025-04-17,PLT-OH1,,CUST-001,FS6-450W,442,Forecast
336,2025-04-18,PLT-OH1,,CUST-001,FS6-450W,381,Forecast
337,2025-04-21,PLT-OH1,,CUST-001,FS6-450W,372,Forecast
338,2025-04-22,PLT-OH1,,CUST-001,FS6-450W,450,Forecast
339,2025-04-23,PLT-OH1,,CUST-001,FS6-450W,425,Forecast
340,2025-04-24,PLT-OH1,,CUST-001,FS6-450W,388,Forecast
341,2025-04-25,PLT-OH1,,CUST-001,FS6-450W,454,Forecast
342,2025-04-28,PLT-OH1,,CUST-001,FS6-450W,378,Forecast
343,2025-04-29,PLT-OH1,,CUST-001,FS6-450W,409,Forecast
344,2025-04-30,PLT-OH1,,CUST-001,FS6-450W,389,Forecast
345,2025-05-01,PLT-OH1,,CUST-001,FS6-450W,389,Forecast
346,2025-05-02,PLT-OH1,,CUST-001,FS6-450W,365,Forecast
347,2025-05-05,PLT-OH1,,CUST-001,FS6-450W,443,Forecast
348,2025-05-06,PLT-OH1,,CUST-001,FS6-450W,453,Forecast
349,2025-05-07,PLT-OH1,,CUST-001,FS6-450W,431,Forecast
350,2025-05-08,PLT-OH1,,CUST-001,FS6-450W,379,Forecast
351,2025-05-09,PLT-OH1,,CUST-001,FS6-450W,407,Forecast
352,2025-05-12,PLT-OH1,,CUST-001,FS6-450W,398,Forecast
353,2025-05-13,PLT-OH1,,CUST-001,FS6-450W,422,Forecast
354,2025-05-14,PLT-OH1,,CUST-001,FS6-450W,427,Forecast
355,2025-05-15,PLT-OH1,,CUST-001,FS6-450W,406,Forecast
356,2025-05-16,PLT-OH1,,CUST-001,FS6-450W,388,Forecast
357,2025-05-19,PLT-OH1,,CUST-001,FS6-450W,448,Forecast
358,2025-05-20,PLT-OH1,,CUST-001,FS6-450W,383,Forecast
359,2025-05-21,PLT-OH1,,CUST-001,FS6-450W,402,Forecast
360,2025-05-22,PLT-OH1,,CUST-001,FS6-450W,412,Forecast
361,2025-05-23,PLT-OH1,,CUST-001,FS6-450W,387,Forecast
