receipt_id,po_id,receipt_date,plant_id,material_id,received_qty,unit_cost,quality_status
60,PO-000183,2025-03-04,PLT-OH1,MAT-021,180404.0,0.2821,Accepted
61,PO-000184,2025-03-18,PLT-OH1,MAT-021,175549.0,0.2821,Accepted
62,PO-000185,2025-04-03,PLT-OH1,MAT-021,150927.0,0.2821,Accepted
63,PO-000193,2025-02-07,PLT-OH1,MAT-022,847.0,94.6936,Accepted
64,PO-000194,2025-02-13,PLT-OH1,MAT-022,851.0,94.6936,Accepted
65,PO-000195,2025-03-04,PLT-OH1,MAT-022,685.0,94.6936,Accepted
66,PO-000196,2025-03-18,PLT-OH1,MAT-022,875.0,94.6936,Accepted
67,PO-000197,2025-04-01,PLT-OH1,MAT-022,754.0,94.6936,Accepted
68,PO-000205,2025-01-24,PLT-OH1,MAT-023,1478.0,155.1778,Accepted
69,PO-000206,2025-02-07,PLT-OH1,MAT-023,1253.0,155.1778,Accepted
70,PO-000207,2025-02-26,PLT-OH1,MAT-023,1663.0,155.1778,Accepted
71,PO-000208,2025-03-12,PLT-OH1,MAT-023,1564.0,155.1778,Accepted
72,PO-000209,2025-03-26,PLT-OH1,MAT-023,1539.0,155.1778,Accepted
73,PO-000217,2025-01-24,PLT-OH1,MAT-024,175.0,65.9198,Accepted
74,PO-000218,2025-02-07,PLT-OH1,MAT-024,217.0,65.9198,Accepted
75,PO-000219,2025-02-26,PLT-OH1,MAT-024,184.0,65.9198,Accepted
76,PO-000220,2025-03-12,PLT-OH1,MAT-024,189.0,65.9198,Accepted
77,PO-000221,2025-03-26,PLT-OH1,MAT-024,215.0,65.9198,Accepted
78,PO-000229,2025-02-11,PLT-OH1,MAT-038,323.0,190.4716,Accepted
79,PO-000230,2025-03-06,PLT-OH1,MAT-038,320.0,190.4716,Accepted
80,PO-000231,2025-03-24,PLT-OH1,MAT-038,292.0,190.4716,Accepted
81,PO-000232,2025-03-30,PLT-OH1,MAT-038,258.0,190.4716,Accepted
82,PO-000241,2025-02-11,PLT-OH1,MAT-039,195.0,215.4664,Accepted
83,PO-000242,2025-02-25,PLT-OH1,MAT-039,204.0,215.4664,Accepted
84,PO-000243,2025-03-16,PLT-OH1,MAT-039,215.0,215.4664,Accepted
85,PO-000244,2025-03-30,PLT-OH1,MAT-039,174.0,215.4664,Accepted
86,PO-000253,2025-02-11,PLT-OH1,MAT-040,51326.0,28.2344,Accepted
87,PO-000254,2025-02-25,PLT-OH1,MAT-040,48352.0,28.2344,Accepted
88,PO-000255,2025-03-16,PLT-OH1,MAT-040,44626.0,28.2344,Accepted
89,PO-000256,2025-03-30,PLT-OH1,MAT-040,45330.3295,28.2344,Partial Accept
90,PO-000265,2025-01-14,PLT-OH1,MAT-047,93326.0,3.3812,Accepted
91,PO-000266,2025-01-28,PLT-OH1,MAT-047,93659.0,3.3812,Accepted
92,PO-000267,2025-02-16,PLT-OH1,MAT-047,85888.0,3.3812,Accepted
93,PO-000268,2025-03-02,PLT-OH1,MAT-047,94748.0,3.3812,Accepted
94,PO-000269,2025-03-16,PLT-OH1,MAT-047,101974.0,3.3812,Accepted
95,PO-000270,2025-03-30,PLT-OH1,MAT-047,83412.0,3.3812,Accepted
96,PO-000277,2025-01-14,PLT-OH1,MAT-048,102457.0,1.9031,Accepted
97,PO-000278,2025-01-28,PLT-OH1,MAT-048,109580.0,1.9031,Accepted
98,PO-000279,2025-02-16,PLT-OH1,MAT-048,91863.0,1.9031,Accepted
99,PO-000280,2025-03-02,PLT-OH1,MAT-048,110683.0,1.9031,Accepted
100,PO-000281,2025-03-16,PLT-OH1,MAT-048,109261.0,1.9031,Accepted
101,PO-000282,2025-03-30,PLT-OH1,MAT-048,92602.0,1.9031,Accepted
102,PO-000289,2025-01-17,PLT-OH1,MAT-049,867.0,9.2767,Accepted
103,PO-000290,2025-02-03,PLT-OH1,MAT-049,1051.0,9.2767,Accepted
104,PO-000291,2025-02-23,PLT-OH1,MAT-049,998.0,9.2767,Accepted
105,PO-000292,2025-03-06,PLT-OH1,MAT-049,1086.0,9.2767,Accepted
106,PO-000293,2025-03-19,PLT-OH1,MAT-049,867.0,9.2767,Accepted
107,PO-000301,2025-02-10,PLT-AL1,MAT-001,103537.0,29.3153,Accepted
108,PO-000302,2025-02-24,PLT-AL1,MAT-001,97578.0,29.3153,Accepted
109,PO-000303,2025-03-18,PLT-AL1,MAT-001,92343.0,29.3153,Accepted
110,PO-000304,2025-03-29,PLT-AL1,MAT-001,103835.0,29.3153,Accepted
111,PO-000313,2025-02-10,PLT-AL1,MAT-002,85301.0,22.9455,Accepted
112,PO-000314,2025-02-24,PLT-AL1,MAT-002,94209.0,22.9455,Accepted
113,PO-000315,2025-03-15,PLT-AL1,MAT-002,96337.0,22.9455,Accepted
114,PO-000316,2025-03-29,PLT-AL1,MAT-002,105610.0,22.9455,Accepted
115,PO-000325,2025-02-10,PLT-AL1,MAT-004,1698.0,91.6909,Accepted
116,PO-000326,2025-02-24,PLT-AL1,MAT-004,1729.0,91.6909,Accepted
117,PO-000327,2025-03-15,PLT-AL1,MAT-004,2148.0,91.6909,Accepted
118,PO-000328,2025-03-29,PLT-AL1,MAT-004,1943.2264,91.6909,Partial Accept
119,PO-000337,2025-03-12,PLT-AL1,MAT-005,589.0,309.6494,Accepted
120,PO-000338,2025-03-26,PLT-AL1,MAT-005,584.0,309.6494,Accepted
121,PO-000349,2025-03-12,PLT-AL1,MAT-006,173.0,209.8299,Accepted
122,PO-000350,2025-03-26,PLT-AL1,MAT-006,227.0,209.8299,Accepted
123,PO-000361,2025-03-02,PLT-AL1,MAT-007,337.0,184.803,Accepted
124,PO-000362,2025-03-16,PLT-AL1,MAT-007,341.0,184.803,Accepted
125,PO-000373,2025-03-02,PLT-AL1,MAT-008,99.0,431.7016,Accepted
126,PO-000374,2025-03-16,PLT-AL1,MAT-008,103.0,431.7016,Accepted
127,PO-000385,2025-03-02,PLT-AL1,MAT-010,47.0,9.8894,Accepted
128,PO-000386,2025-03-16,PLT-AL1,MAT-010,51.0,9.8894,Accepted
129,PO-000397,2025-01-28,PLT-AL1,MAT-011,215960.0,6.6521,Accepted
130,PO-000398,2025-02-11,PLT-AL1,MAT-011,210122.0,6.6521,Accepted
131,PO-000399,2025-03-02,PLT-AL1,MAT-011,177028.0,6.6521,Accepted
132,PO-000400,2025-03-16,PLT-AL1,MAT-011,173143.0,6.6521,Accepted
133,PO-000401,2025-03-30,PLT-AL1,MAT-011,195022.0,6.6521,Accepted
134,PO-000409,2025-01-31,PLT-AL1,MAT-012,206731.0,4.1176,Accepted
135,PO-000410,2025-02-14,PLT-AL1,MAT-012,220979.0,4.1176,Accepted
136,PO-000411,2025-03-05,PLT-AL1,MAT-012,172261.0,4.1176,Accepted
137,PO-000412,2025-03-19,PLT-AL1,MAT-012,224360.0,4.1176,Accepted
138,PO-000421,2025-01-31,PLT-AL1,MAT-013,93832.0,2.2776,Accepted
139,PO-000422,2025-02-14,PLT-AL1,MAT-013,99400.0,2.2776,Accepted
140,PO-000423,2025-03-05,PLT-AL1,MAT-013,100583.0,2.2776,Accepted
141,PO-000424,2025-03-19,PLT-AL1,MAT-013,101556.0,2.2776,Accepted
142,PO-000433,2025-01-28,PLT-AL1,MAT-014,108152.0,0.8813,Accepted
143,PO-000434,2025-02-11,PLT-AL1,MAT-014,106818.0,0.8813,Accepted
144,PO-000435,2025-03-02,PLT-AL1,MAT-014,104275.0,0.8813,Accepted
145,PO-000436,2025-03-16,PLT-AL1,MAT-014,98019.0,0.8813,Accepted
146,PO-000437,2025-03-30,PLT-AL1,MAT-014,91733.0,0.8813,Accepted
147,PO-000445,2025-01-25,PLT-AL1,MAT-016,85719.0,7.84,Accepted
148,PO-000446,2025-02-09,PLT-AL1,MAT-016,97463.0,7.84,Accepted
149,PO-000447,2025-03-05,PLT-AL1,MAT-016,95173.0,7.84,Accepted
150,PO-000448,2025-03-13,PLT-AL1,MAT-016,86494.0,7.84,Accepted
151,PO-000449,2025-03-27,PLT-AL1,MAT-016,110943.0,7.84,Accepted
152,PO-000457,2025-01-25,PLT-AL1,MAT-017,96492.0,2.0866,Accepted
153,PO-000458,2025-02-08,PLT-AL1,MAT-017,103752.0,2.0866,Accepted
154,PO-000459,2025-02-27,PLT-AL1,MAT-017,105603.0,2.0866,Accepted
155,PO-000460,2025-03-13,PLT-AL1,MAT-017,112866.0,2.0866,Accepted
156,PO-000461,2025-03-27,PLT-AL1,MAT-017,113836.0,2.0866,Accepted
157,PO-000469,2025-01-25,PLT-AL1,MAT-019,325312.0,0.6536,Accepted
158,PO-000470,2025-02-08,PLT-AL1,MAT-019,289067.0,0.6536,Accepted
159,PO-000471,2025-02-27,PLT-AL1,MAT-019,331604.0,0.6536,Accepted
160,PO-000472,2025-03-13,PLT-AL1,MAT-019,292897.0,0.6536,Accepted
161,PO-000473,2025-03-30,PLT-AL1,MAT-019,283326.0,0.6536,Accepted
162,PO-000481,2025-01-25,PLT-AL1,MAT-020,234769.0,0.4131,Accepted
163,PO-000482,2025-02-08,PLT-AL1,MAT-020,249458.0,0.4131,Accepted
164,PO-000483,2025-03-01,PLT-AL1,MAT-020,266307.0,0.4131,Accepted
165,PO-000484,2025-03-13,PLT-AL1,MAT-020,222151.0,0.4131,Accepted
166,PO-000485,2025-03-27,PLT-AL1,MAT-020,276962.0,0.4131,Accepted
167,PO-000493,2025-01-25,PLT-AL1,MAT-021,188958.0,0.2853,Accepted
168,PO-000494,2025-02-08,PLT-AL1,MAT-021,167873.0,0.2853,Accepted
169,PO-000495,2025-02-27,PLT-AL1,MAT-021,184516.0,0.2853,Accepted
170,PO-000496,2025-03-13,PLT-AL1,MAT-021,168721.0,0.2853,Accepted
171,PO-000497,2025-03-27,PLT-AL1,MAT-021,172152.0,0.2853,Accepted
172,PO-000505,2025-01-30,PLT-AL1,MAT-022,877.0,97.223,Accepted
173,PO-000506,2025-02-13,PLT-AL1,MAT-022,836.0,97.223,Accepted
174,PO-000507,2025-03-04,PLT-AL1,MAT-022,688.2595,97.223,Partial Accept
175,PO-000508,2025-03-18,PLT-AL1,MAT-022,739.0,97.223,Accepted
176,PO-000509,2025-04-01,PLT-AL1,MAT-022,829.0,97.223,Accepted
177,PO-000517,2025-02-03,PLT-AL1,MAT-038,273.0,205.5993,Accepted
178,PO-000518,2025-02-17,PLT-AL1,MAT-038,262.0,205.5993,Accepted
179,PO-000519,2025-03-08,PLT-AL1,MAT-038,292.0,205.5993,Accepted
180,PO-000520,2025-03-22,PLT-AL1,MAT-038,316.0,205.5993,Accepted
181,PO-000529,2025-02-11,PLT-AL1,MAT-039,213.0,220.9917,Accepted
182,PO-000530,2025-02-25,PLT-AL1,MAT-039,215.0,220.9917,Accepted
183,PO-000531,2025-03-16,PLT-AL1,MAT-039,200.0,220.9917,Accepted
184,PO-000532,2025-03-30,PLT-AL1,MAT-039,223.0,220.9917,Accepted
185,PO-000541,2025-02-11,PLT-AL1,MAT-040,42527.0,29.2391,Accepted
186,PO-000542,2025-02-25,PLT-AL1,MAT-040,42614.5017,29.2391,Partial Accept
187,PO-000543,2025-03-16,PLT-AL1,MAT-040,49241.0,29.2391,Accepted
188,PO-000544,2025-03-30,PLT-AL1,MAT-040,51719.0,29.2391,Accepted
189,PO-000553,2025-01-14,PLT-AL1,MAT-047,102049.0,3.4114,Accepted
190,PO-000554,2025-01-28,PLT-AL1,MAT-047,86936.0,3.4114,Accepted
191,PO-000555,2025-02-19,PLT-AL1,MAT-047,102555.0,3.4114,Accepted
192,PO-000556,2025-03-02,PLT-AL1,MAT-047,101903.0,3.4114,Accepted
193,PO-000557,2025-03-16,PLT-AL1,MAT-047,111202.0,3.4114,Accepted
194,PO-000558,2025-03-30,PLT-AL1,MAT-047,89935.0,3.4114,Accepted
195,PO-000565,2025-01-14,PLT-AL1,MAT-048,105718.0,1.8605,Accepted
196,PO-000566,2025-01-28,PLT-AL1,MAT-048,107716.0,1.8605,Accepted
197,PO-000567,2025-02-16,PLT-AL1,MAT-048,108299.0,1.8605,Accepted
198,PO-000568,2025-03-02,PLT-AL1,MAT-048,92280.0,1.8605,Accepted
199,PO-000569,2025-03-16,PLT-AL1,MAT-048,91804.0,1.8605,Accepted
200,PO-000570,2025-03-30,PLT-AL1,MAT-048,100603.0,1.8605,Accepted
201,PO-000577,2025-01-17,PLT-AL1,MAT-049,855.0,8.8931,Accepted
202,PO-000578,2025-01-31,PLT-AL1,MAT-049,880.0,8.8931,Accepted
203,PO-000579,2025-02-19,PLT-AL1,MAT-049,903.0,8.8931,Accepted
204,PO-000580,2025-03-05,PLT-AL1,MAT-049,875.0,8.8931,Accepted
205,PO-000581,2025-03-19,PLT-AL1,MAT-049,852.2503,8.8931,Partial Accept
206,PO-000589,2025-01-14,PLT-AL1,MAT-050,925.0,22.5955,Accepted
207,PO-000590,2025-01-28,PLT-AL1,MAT-050,1098.0,22.5955,Accepted
208,PO-000591,2025-02-16,PLT-AL1,MAT-050,872.0,22.5955,Accepted
209,PO-000592,2025-03-02,PLT-AL1,MAT-050,887.0,22.5955,Accepted
210,PO-000593,2025-03-16,PLT-AL1,MAT-050,849.0,22.5955,Accepted
211,PO-000594,2025-03-30,PLT-AL1,MAT-050,988.0,22.5955,Accepted
212,PO-000601,2025-02-10,PLT-LA1,MAT-001,39947.0,30.2499,Accepted
213,PO-000602,2025-02-24,PLT-LA1,MAT-001,46858.0,30.2499,Accepted
214,PO-000603,2025-03-15,PLT-LA1,MAT-001,44095.0,30.2499,Accepted
215,PO-000604,2025-03-29,PLT-LA1,MAT-001,35484.0,30.2499,Accepted
216,PO-000613,2025-02-10,PLT-LA1,MAT-002,37082.0,22.4233,Accepted
217,PO-000614,2025-02-24,PLT-LA1,MAT-002,38077.0,22.4233,Accepted
218,PO-000615,2025-03-15,PLT-LA1,MAT-002,46069.0,22.4233,Accepted
219,PO-000616,2025-03-29,PLT-LA1,MAT-002,38813.0,22.4233,Accepted
220,PO-000625,2025-03-12,PLT-LA1,MAT-005,274.0,316.6149,Accepted
221,PO-000626,2025-03-26,PLT-LA1,MAT-005,245.0,316.6149,Accepted
222,PO-000637,2025-03-12,PLT-LA1,MAT-006,78.0,210.9981,Accepted
223,PO-000638,2025-03-26,PLT-LA1,MAT-006,90.0,210.9981,Accepted
224,PO-000649,2025-03-12,PLT-LA1,MAT-007,124.0,173.7297,Accepted
225,PO-000650,2025-03-26,PLT-LA1,MAT-007,112.0,173.7297,Accepted
226,PO-000661,2025-03-02,PLT-LA1,MAT-008,36.0,433.2297,Accepted
227,PO-000662,2025-03-16,PLT-LA1,MAT-008,36.0,433.2297,Accepted
228,PO-000673,2025-03-12,PLT-LA1,MAT-009,44.0,95.4216,Accepted
229,PO-000674,2025-03-26,PLT-LA1,MAT-009,45.0,95.4216,Accepted
230,PO-000685,2025-01-31,PLT-LA1,MAT-011,80758.0,6.7785,Accepted
231,PO-000686,2025-02-14,PLT-LA1,MAT-011,73398.0,6.7785,Accepted
232,PO-000687,2025-03-05,PLT-LA1,MAT-011,93531.0,6.7785,Accepted
233,PO-000688,2025-03-19,PLT-LA1,MAT-011,91581.0,6.7785,Accepted
234,PO-000697,2025-01-31,PLT-LA1,MAT-012,85735.0,3.9699,Accepted
235,PO-000698,2025-02-14,PLT-LA1,MAT-012,92765.0,3.9699,Accepted
236,PO-000699,2025-03-05,PLT-LA1,MAT-012,85213.0,3.9699,Accepted
237,PO-000700,2025-03-19,PLT-LA1,MAT-012,73905.0,3.9699,Accepted
238,PO-000709,2025-01-31,PLT-LA1,MAT-013,35959.0,2.3016,Accepted
239,PO-000710,2025-02-14,PLT-LA1,MAT-013,36797.0,2.3016,Accepted
240,PO-000711,2025-03-05,PLT-LA1,MAT-013,34347.2039,2.3016,Partial Accept
241,PO-000712,2025-03-19,PLT-LA1,MAT-013,40325.0,2.3016,Accepted
242,PO-000721,2025-01-31,PLT-LA1,MAT-014,40399.0,0.8852,Accepted
243,PO-000722,2025-02-11,PLT-LA1,MAT-014,46223.0,0.8852,Accepted
244,PO-000723,2025-03-02,PLT-LA1,MAT-014,46510.0,0.8852,Accepted
245,PO-000724,2025-03-16,PLT-LA1,MAT-014,35344.0,0.8852,Accepted
246,PO-000725,2025-03-30,PLT-LA1,MAT-014,39867.0,0.8852,Accepted
247,PO-000733,2025-01-28,PLT-LA1,MAT-015,35782.0,1.1855,Accepted
248,PO-000734,2025-02-11,PLT-LA1,MAT-015,41129.0,1.1855,Accepted
249,PO-000735,2025-03-02,PLT-LA1,MAT-015,46706.0,1.1855,Accepted
250,PO-000736,2025-03-16,PLT-LA1,MAT-015,38962.0,1.1855,Accepted
251,PO-000737,2025-03-30,PLT-LA1,MAT-015,43540.0,1.1855,Accepted
252,PO-000745,2025-01-25,PLT-LA1,MAT-016,42201.0,7.3202,Accepted
253,PO-000746,2025-02-08,PLT-LA1,MAT-016,35406.0,7.3202,Accepted
254,PO-000747,2025-02-27,PLT-LA1,MAT-016,46998.0,7.3202,Accepted
255,PO-000748,2025-03-13,PLT-LA1,MAT-016,38439.0,7.3202,Accepted
256,PO-000749,2025-03-27,PLT-LA1,MAT-016,37241.0,7.3202,Accepted
257,PO-000757,2025-01-25,PLT-LA1,MAT-017,38689.0,2.0357,Accepted
258,PO-000758,2025-02-08,PLT-LA1,MAT-017,37422.0,2.0357,Accepted
259,PO-000759,2025-02-27,PLT-LA1,MAT-017,44247.0,2.0357,Accepted
260,PO-000760,2025-03-13,PLT-LA1,MAT-017,47565.0,2.0357,Accepted
261,PO-000761,2025-03-27,PLT-LA1,MAT-017,41181.0,2.0357,Accepted
262,PO-000769,2025-01-25,PLT-LA1,MAT-019,107044.0,0.6431,Accepted
263,PO-000770,2025-02-08,PLT-LA1,MAT-019,142528.0,0.6431,Accepted
264,PO-000771,2025-02-27,PLT-LA1,MAT-019,133652.0,0.6431,Accepted
265,PO-000772,2025-03-13,PLT-LA1,MAT-019,0,0.6431,Rejected
266,PO-000773,2025-03-27,PLT-LA1,MAT-019,127802.0,0.6431,Accepted
267,PO-000781,2025-01-25,PLT-LA1,MAT-020,97658.0,0.4105,Accepted
268,PO-000782,2025-02-08,PLT-LA1,MAT-020,98260.0,0.4105,Accepted
269,PO-000783,2025-02-27,PLT-LA1,MAT-020,99341.0,0.4105,Accepted
270,PO-000784,2025-03-13,PLT-LA1,MAT-020,97967.0,0.4105,Accepted
271,PO-000785,2025-03-27,PLT-LA1,MAT-020,95269.0,0.4105,Accepted
272,PO-000793,2025-01-30,PLT-LA1,MAT-021,0,0.28,Rejected
273,PO-000794,2025-02-13,PLT-LA1,MAT-021,79094.0,0.28,Accepted
274,PO-000795,2025-03-04,PLT-LA1,MAT-021,68300.0,0.28,Accepted
275,PO-000796,2025-03-18,PLT-LA1,MAT-021,68752.0,0.28,Accepted
276,PO-000797,2025-04-01,PLT-LA1,MAT-021,76319.0,0.28,Accepted
277,PO-000805,2025-01-30,PLT-LA1,MAT-022,339.0,95.441,Accepted
278,PO-000806,2025-02-13,PLT-LA1,MAT-022,295.0,95.441,Accepted
279,PO-000807,2025-03-04,PLT-LA1,MAT-022,355.0,95.441,Accepted
280,PO-000808,2025-03-18,PLT-LA1,MAT-022,309.0,95.441,Accepted
281,PO-000809,2025-04-01,PLT-LA1,MAT-022,353.0,95.441,Accepted
282,PO-000817,2025-01-24,PLT-LA1,MAT-024,90.0,67.2222,Accepted
283,PO-000818,2025-02-09,PLT-LA1,MAT-024,78.0,67.2222,Accepted
284,PO-000819,2025-02-26,PLT-LA1,MAT-024,77.0,67.2222,Accepted
285,PO-000820,2025-03-12,PLT-LA1,MAT-024,72.0,67.2222,Accepted
286,PO-000821,2025-03-26,PLT-LA1,MAT-024,82.0,67.2222,Accepted
287,PO-000829,2025-01-26,PLT-LA1,MAT-027,71.0,4.702,Accepted
288,PO-000830,2025-02-12,PLT-LA1,MAT-027,70.7509,4.702,Partial Accept
289,PO-000831,2025-02-26,PLT-LA1,MAT-027,86.0,4.702,Accepted
290,PO-000832,2025-03-12,PLT-LA1,MAT-027,79.0,4.702,Accepted
291,PO-000833,2025-03-26,PLT-LA1,MAT-027,70.0,4.702,Accepted
292,PO-000841,2025-02-10,PLT-LA1,MAT-038,114.0,178.5975,Accepted
293,PO-000842,2025-02-24,PLT-LA1,MAT-038,0,178.5975,Rejected
294,PO-000843,2025-03-15,PLT-LA1,MAT-038,122.0,178.5975,Accepted
295,PO-000844,2025-03-29,PLT-LA1,MAT-038,120.0,178.5975,Accepted
296,PO-000853,2025-02-11,PLT-LA1,MAT-040,18166.0,28.3693,Accepted
297,PO-000854,2025-02-25,PLT-LA1,MAT-040,17615.0,28.3693,Accepted
298,PO-000855,2025-03-16,PLT-LA1,MAT-040,21073.0,28.3693,Accepted
299,PO-000856,2025-03-30,PLT-LA1,MAT-040,17747.0,28.3693,Accepted
300,PO-000865,2025-01-14,PLT-LA1,MAT-047,36578.0,3.3321,Accepted
301,PO-000866,2025-01-28,PLT-LA1,MAT-047,40390.0,3.3321,Accepted
302,PO-000867,2025-02-16,PLT-LA1,MAT-047,38538.0,3.3321,Accepted
303,PO-000868,2025-03-02,PLT-LA1,MAT-047,41830.0,3.3321,Accepted
304,PO-000869,2025-03-16,PLT-LA1,MAT-047,47469.0,3.3321,Accepted
305,PO-000870,2025-04-03,PLT-LA1,MAT-047,41854.0,3.3321,Accepted
306,PO-000877,2025-01-15,PLT-LA1,MAT-048,38085.0,1.9043,Accepted
307,PO-000878,2025-01-28,PLT-LA1,MAT-048,41189.0,1.9043,Accepted
308,PO-000879,2025-02-16,PLT-LA1,MAT-048,45384.0,1.9043,Accepted
309,PO-000880,2025-03-02,PLT-LA1,MAT-048,45163.0,1.9043,Accepted
310,PO-000881,2025-03-16,PLT-LA1,MAT-048,41989.0,1.9043,Accepted
311,PO-000882,2025-03-30,PLT-LA1,MAT-048,41758.0,1.9043,Accepted
312,PO-000889,2025-01-17,PLT-LA1,MAT-049,298.6043,8.9005,Partial Accept
313,PO-000890,2025-01-31,PLT-LA1,MAT-049,460.0,8.9005,Accepted
314,PO-000891,2025-02-19,PLT-LA1,MAT-049,446.0,8.9005,Accepted
315,PO-000892,2025-03-05,PLT-LA1,MAT-049,438.0,8.9005,Accepted
316,PO-000893,2025-03-19,PLT-LA1,MAT-049,450.0,8.9005,Accepted
