po_id,po_date,plant_id,supplier_id,material_id,ordered_qty,unit_price,po_value,requested_delivery_date,expected_delivery_date,actual_delivery_date,po_status,is_rush,expediting_cost
PO-000030,2025-03-17,PLT-OH1,SUP-003,MAT-004,1899,92.482,175623.318,2025-04-26,2025-04-28,,In Transit,False,0.0
PO-000031,2025-04-01,PLT-OH1,SUP-003,MAT-004,2088,92.482,193102.416,2025-05-11,2025-05-16,,In Transit,False,0.0
PO-000032,2025-04-15,PLT-OH1,SUP-003,MAT-004,2168,92.482,200500.976,2025-05-25,2025-05-27,,Open,False,0.0
PO-000033,2025-05-01,PLT-OH1,SUP-003,MAT-004,1672,92.482,154629.904,2025-06-10,2025-06-16,,Open,False,0.0
PO-000034,2025-05-15,PLT-OH1,SUP-003,MAT-004,2019,92.482,186721.158,2025-06-24,2025-06-28,,Open,False,0.0
PO-000035,2025-06-02,PLT-OH1,SUP-003,MAT-004,2017,92.482,186536.194,2025-07-12,2025-07-12,,Open,True,9664.0862
PO-000036,2025-06-16,PLT-OH1,SUP-003,MAT-004,2173,92.482,200963.386,2025-07-26,2025-08-01,,Open,True,22315.371
PO-000037,2025-01-01,PLT-OH1,SUP-006,MAT-005,504,326.5448,164578.5792,2025-03-12,2025-03-20,2025-03-12,Received,False,0.0
PO-000038,2025-01-15,PLT-OH1,SUP-006,MAT-005,526,326.5448,171762.5648,2025-03-26,2025-03-29,2025-03-26,Received,False,0.0
PO-000039,2025-02-03,PLT-OH1,SUP-006,MAT-005,512,326.5448,167190.9376,2025-04-14,2025-04-21,,In Transit,False,0.0
PO-000040,2025-02-17,PLT-OH1,SUP-006,MAT-005,578,326.5448,188742.8944,2025-04-28,2025-05-05,,In Transit,False,0.0
PO-000041,2025-03-03,PLT-OH1,SUP-006,MAT-005,520,326.5448,169803.296,2025-05-12,2025-05-12,,In Transit,False,0.0
PO-000042,2025-03-17,PLT-OH1,SUP-006,MAT-005,551,326.5448,179926.1848,2025-05-26,2025-05-28,,In Transit,False,0.0
PO-000043,2025-04-01,PLT-OH1,SUP-006,MAT-005,553,326.5448,180579.2744,2025-06-10,2025-06-20,,In Transit,False,0.0
PO-000044,2025-04-15,PLT-OH1,SUP-006,MAT-005,622,326.5448,203110.8656,2025-06-24,2025-07-05,,Open,False,0.0
PO-000045,2025-05-01,PLT-OH1,SUP-006,MAT-005,642,326.5448,209641.7616,2025-07-10,2025-07-12,,Open,False,0.0
PO-000046,2025-05-15,PLT-OH1,SUP-006,MAT-005,535,326.5448,174701.468,2025-07-24,2025-07-26,,Open,False,0.0
PO-000047,2025-06-02,PLT-OH1,SUP-006,MAT-005,536,326.5448,175028.0128,2025-08-11,2025-08-12,,Open,False,0.0
PO-000048,2025-06-16,PLT-OH1,SUP-006,MAT-005,622,326.5448,203110.8656,2025-08-25,2025-09-03,,Open,False,0.0
PO-000049,2025-01-01,PLT-OH1,SUP-004,MAT-006,172,204.2487,35130.7764,2025-03-12,2025-03-22,2025-03-12,Received,False,0.0
PO-000050,2025-01-15,PLT-OH1,SUP-004,MAT-006,183,204.2487,37377.5121,2025-03-26,2025-04-04,2025-03-26,Received,False,0.0
PO-000051,2025-02-03,PLT-OH1,SUP-004,MAT-006,196,204.2487,40032.7452,2025-04-14,2025-04-26,,In Transit,False,0.0
PO-000052,2025-02-17,PLT-OH1,SUP-004,MAT-006,218,204.2487,44526.2166,2025-04-28,2025-05-08,,In Transit,False,0.0
PO-000053,2025-03-03,PLT-OH1,SUP-004,MAT-006,174,204.2487,35539.2738,2025-05-12,2025-05-12,,In Transit,False,0.0
PO-000054,2025-03-17,PLT-OH1,SUP-004,MAT-006,209,204.2487,42687.9783,2025-05-26,2025-05-26,,In Transit,False,0.0
PO-000055,2025-04-01,PLT-OH1,SUP-004,MAT-006,212,204.2487,43300.7244,2025-06-10,2025-06-12,,In Transit,False,0.0
PO-000056,2025-04-15,PLT-OH1,SUP-004,MAT-006,202,204.2487,41258.2374,2025-06-24,2025-06-27,,Open,False,0.0
PO-000057,2025-05-01,PLT-OH1,SUP-004,MAT-006,175,204.2487,35743.5225,2025-07-10,2025-07-19,,Open,False,0.0
PO-000058,2025-05-15,PLT-OH1,SUP-004,MAT-006,194,204.2487,39624.2478,2025-07-24,2025-07-27,,Open,False,0.0
PO-000059,2025-06-02,PLT-OH1,SUP-004,MAT-006,202,204.2487,41258.2374,2025-08-11,2025-08-20,,Open,False,0.0
PO-000060,2025-06-16,PLT-OH1,SUP-004,MAT-006,189,204.2487,38603.0043,2025-08-25,2025-09-01,,Open,False,0.0
PO-000061,2025-01-01,PLT-OH1,SUP-005,MAT-007,303,185.9755,56350.5765,2025-03-02,2025-03-06,2025-03-02,Received,False,0.0
PO-000062,2025-01-15,PLT-OH1,SUP-005,MAT-007,306,185.9755,56908.503,2025-03-16,2025-03-18,2025-03-16,Received,False,0.0
PO-000063,2025-02-03,PLT-OH1,SUP-005,MAT-007,271,185.9755,50399.3605,2025-04-04,2025-04-16,,In Transit,False,0.0
PO-000064,2025-02-17,PLT-OH1,SUP-005,MAT-007,296,185.9755,55048.748,2025-04-18,2025-04-23,,In Transit,False,0.0
PO-000065,2025-03-03,PLT-OH1,SUP-005,MAT-007,315,185.9755,58582.2825,2025-05-02,2025-05-07,,In Transit,False,0.0
PO-000066,2025-03-17,PLT-OH1,SUP-005,MAT-007,286,185.9755,53188.993,2025-05-16,2025-04-06,,In Transit,True,4682.3502
PO-000067,2025-04-01,PLT-OH1,SUP-005,MAT-007,268,185.9755,49841.434,2025-05-31,2025-06-01,,In Transit,False,0.0
PO-000068,2025-04-15,PLT-OH1,SUP-005,MAT-007,296,185.9755,55048.748,2025-06-14,2025-06-19,,Open,False,0.0
PO-000069,2025-05-01,PLT-OH1,SUP-005,MAT-007,275,185.9755,51143.2625,2025-06-30,2025-07-01,,Open,False,0.0
PO-000070,2025-05-15,PLT-OH1,SUP-005,MAT-007,333,185.9755,61929.8415,2025-07-14,2025-07-16,,Open,False,0.0
PO-000071,2025-06-02,PLT-OH1,SUP-005,MAT-007,283,185.9755,52631.0665,2025-08-01,2025-08-09,,Open,False,0.0
PO-000072,2025-06-16,PLT-OH1,SUP-005,MAT-007,265,185.9755,49283.5075,2025-08-15,2025-08-18,,Open,False,0.0
PO-000073,2025-01-01,PLT-OH1,SUP-005,MAT-008,105,450.6228,47315.394,2025-03-02,2025-03-10,2025-03-02,Received,False,0.0
PO-000074,2025-01-15,PLT-OH1,SUP-005,MAT-008,100,450.6228,45062.28,2025-03-16,2025-03-24,2025-03-16,Received,False,0.0
PO-000075,2025-02-03,PLT-OH1,SUP-005,MAT-008,84,450.6228,37852.3152,2025-04-04,2025-04-07,,In Transit,False,0.0
PO-000076,2025-02-17,PLT-OH1,SUP-005,MAT-008,103,450.6228,46414.1484,2025-04-18,2025-04-23,,In Transit,False,0.0
PO-000077,2025-03-03,PLT-OH1,SUP-005,MAT-008,87,450.6228,39204.1836,2025-05-02,2025-05-12,,In Transit,False,0.0
PO-000078,2025-03-17,PLT-OH1,SUP-005,MAT-008,108,450.6228,48667.2624,2025-05-16,2025-05-24,,In Transit,False,0.0
PO-000079,2025-04-01,PLT-OH1,SUP-005,MAT-008,110,450.6228,49568.508,2025-05-31,2025-06-04,,In Transit,False,0.0
PO-000080,2025-04-15,PLT-OH1,SUP-005,MAT-008,84,450.6228,37852.3152,2025-06-14,2025-06-20,,Open,False,0.0
PO-000081,2025-05-01,PLT-OH1,SUP-005,MAT-008,91,450.6228,41006.6748,2025-06-30,2025-07-06,,Open,False,0.0
PO-000082,2025-05-15,PLT-OH1,SUP-005,MAT-008,109,450.6228,49117.8852,2025-07-14,2025-07-16,,Open,False,0.0
PO-000083,2025-06-02,PLT-OH1,SUP-005,MAT-008,104,450.6228,46864.7712,2025-08-01,2025-08-02,,Open,False,0.0
PO-000084,2025-06-16,PLT-OH1,SUP-005,MAT-008,90,450.6228,40556.052,2025-08-15,2025-08-19,,Open,False,0.0
PO-000085,2025-01-01,PLT-OH1,SUP-007,MAT-011,177622,6.6961,1189374.6742,2025-01-31,2025-02-01,2025-01-31,Received,False,0.0
PO-000086,2025-01-15,PLT-OH1,SUP-007,MAT-011,168891,6.6961,1130911.0251,2025-02-14,2025-02-16,2025-02-14,Received,False,0.0
PO-000087,2025-02-03,PLT-OH1,SUP-007,MAT-011,210076,6.6961,1406689.9036,2025-03-05,2025-03-11,2025-03-09,Received,False,0.0
PO-000088,2025-02-17,PLT-OH1,SUP-007,MAT-011,211344,6.6961,1415180.5584,2025-03-19,2025-03-22,2025-03-19,Received,False,0.0
PO-000089,2025-03-03,PLT-OH1,SUP-007,MAT-011,179947,6.6961,1204943.1067,2025-04-02,2025-04-06,,In Transit,False,0.0
PO-000090,2025-03-17,PLT-OH1,SUP-007,MAT-011,173633,6.6961,1162663.9313,2025-04-16,2025-04-19,,In Transit,False,0.0
PO-000091,2025-04-01,PLT-OH1,SUP-007,MAT-011,191321,6.6961,1281104.5481,2025-05-01,2025-05-01,,In Transit,False,0.0
PO-000092,2025-04-15,PLT-OH1,SUP-007,MAT-011,202612,6.6961,1356710.2132,2025-05-15,2025-05-16,,Open,False,0.0
PO-000093,2025-05-01,PLT-OH1,SUP-007,MAT-011,210489,6.6961,1409455.3929,2025-05-31,2025-06-03,,Open,False,0.0
PO-000094,2025-05-15,PLT-OH1,SUP-007,MAT-011,203994,6.6961,1365964.2234,2025-06-14,2025-06-15,,Open,False,0.0
PO-000095,2025-06-02,PLT-OH1,SUP-007,MAT-011,197036,6.6961,1319372.7596,2025-07-02,2025-07-04,,Open,False,0.0
PO-000096,2025-06-16,PLT-OH1,SUP-007,MAT-011,169544,6.6961,1135283.5784,2025-07-16,2025-07-21,,Open,False,0.0
PO-000097,2025-01-01,PLT-OH1,SUP-007,MAT-012,216536,3.8512,833923.4432,2025-01-31,2025-02-02,2025-01-31,Received,False,0.0
PO-000098,2025-01-15,PLT-OH1,SUP-007,MAT-012,172021,3.8512,662487.2752,2025-02-14,2025-02-17,2025-02-14,Received,False,0.0
PO-000099,2025-02-03,PLT-OH1,SUP-007,MAT-012,209718,3.8512,807665.9616,2025-03-05,2025-03-07,2025-03-05,Received,False,0.0
PO-000100,2025-02-17,PLT-OH1,SUP-007,MAT-012,179522,3.8512,691375.1264,2025-03-19,2025-03-22,2025-03-19,Received,False,0.0
PO-000101,2025-03-03,PLT-OH1,SUP-007,MAT-012,190054,3.8512,731935.9648,2025-04-02,2025-04-04,,In Transit,False,0.0
PO-000102,2025-03-17,PLT-OH1,SUP-007,MAT-012,218258,3.8512,840555.2096,2025-04-16,2025-04-19,,In Transit,False,0.0
PO-000103,2025-04-01,PLT-OH1,SUP-007,MAT-012,204376,3.8512,787092.8512,2025-05-01,2025-05-01,,In Transit,False,0.0
PO-000104,2025-04-15,PLT-OH1,SUP-007,MAT-012,166188,3.8512,640023.2256,2025-05-15,2025-05-18,,Open,False,0.0
PO-000105,2025-05-01,PLT-OH1,SUP-007,MAT-012,179606,3.8512,691698.6272,2025-05-31,2025-06-03,,Open,False,0.0
PO-000106,2025-05-15,PLT-OH1,SUP-007,MAT-012,204298,3.8512,786792.4576,2025-06-14,2025-06-17,,Open,False,0.0
PO-000107,2025-06-02,PLT-OH1,SUP-007,MAT-012,198169,3.8512,763188.4528,2025-07-02,2025-07-05,,Open,False,0.0
PO-000108,2025-06-16,PLT-OH1,SUP-007,MAT-012,200853,3.8512,773525.0736,2025-07-16,2025-07-19,,Open,False,0.0
PO-000109,2025-01-01,PLT-OH1,SUP-007,MAT-013,83946,2.307,193663.422,2025-01-31,2025-01-31,2025-01-31,Received,False,0.0
PO-000110,2025-01-15,PLT-OH1,SUP-007,MAT-013,99521,2.307,229594.947,2025-02-14,2025-02-16,2025-02-14,Received,False,0.0
PO-000111,2025-02-03,PLT-OH1,SUP-007,MAT-013,99653,2.307,229899.471,2025-03-05,2025-03-08,2025-03-05,Received,False,0.0
PO-000112,2025-02-17,PLT-OH1,SUP-007,MAT-013,103686,2.307,239203.602,2025-03-19,2025-02-27,2025-03-19,Received,True,22795.1927
PO-000113,2025-03-03,PLT-OH1,SUP-007,MAT-013,96167,2.307,221857.269,2025-04-02,2025-04-05,,In Transit,False,0.0
PO-000114,2025-03-17,PLT-OH1,SUP-007,MAT-013,106456,2.307,245593.992,2025-04-16,2025-04-16,,In Transit,False,0.0
PO-000115,2025-04-01,PLT-OH1,SUP-007,MAT-013,89024,2.307,205378.368,2025-05-01,2025-05-01,,In Transit,False,0.0
PO-000116,2025-04-15,PLT-OH1,SUP-007,MAT-013,91249,2.307,210511.443,2025-05-15,2025-05-15,,Open,False,0.0
PO-000117,2025-05-01,PLT-OH1,SUP-007,MAT-013,104001,2.307,239930.307,2025-05-31,2025-06-02,,Open,False,0.0
PO-000118,2025-05-15,PLT-OH1,SUP-007,MAT-013,93185,2.307,214977.795,2025-06-14,2025-06-16,,Open,False,0.0
PO-000119,2025-06-02,PLT-OH1,SUP-007,MAT-013,111139,2.307,256397.673,2025-07-02,2025-07-05,,Open,False,0.0
PO-000120,2025-06-16,PLT-OH1,SUP-007,MAT-013,105596,2.307,243609.972,2025-07-16,2025-07-18,,Open,False,0.0
PO-000121,2025-01-01,PLT-OH1,SUP-008,MAT-014,105155,0.8685,91327.1175,2025-01-28,2025-02-03,2025-01-28,Received,False,0.0
PO-000122,2025-01-15,PLT-OH1,SUP-008,MAT-014,98694,0.8685,85715.739,2025-02-11,2025-02-13,2025-02-11,Received,False,0.0
PO-000123,2025-02-03,PLT-OH1,SUP-008,MAT-014,105516,0.8685,91640.646,2025-03-02,2025-03-02,2025-03-02,Received,False,0.0
PO-000124,2025-02-17,PLT-OH1,SUP-008,MAT-014,92460,0.8685,80301.51,2025-03-16,2025-03-22,2025-03-16,Received,False,0.0
PO-000125,2025-03-03,PLT-OH1,SUP-008,MAT-014,110915,0.8685,96329.6775,2025-03-30,2025-04-04,2025-03-30,Received,False,0.0
PO-000126,2025-03-17,PLT-OH1,SUP-008,MAT-014,85357,0.8685,74132.5545,2025-04-13,2025-04-16,,In Transit,False,0.0
PO-000127,2025-04-01,PLT-OH1,SUP-008,MAT-014,101385,0.8685,88052.8725,2025-04-28,2025-04-30,,In Transit,False,0.0
PO-000128,2025-04-15,PLT-OH1,SUP-008,MAT-014,107706,0.8685,93542.661,2025-05-12,2025-05-14,,Open,False,0.0
PO-000129,2025-05-01,PLT-OH1,SUP-008,MAT-014,106244,0.8685,92272.914,2025-05-28,2025-06-03,,Open,False,0.0
PO-000130,2025-05-15,PLT-OH1,SUP-008,MAT-014,87365,0.8685,75876.5025,2025-06-11,2025-06-11,,Open,False,0.0
PO-000131,2025-06-02,PLT-OH1,SUP-008,MAT-014,85971,0.8685,74665.8135,2025-06-29,2025-07-03,,Open,False,0.0
PO-000132,2025-06-16,PLT-OH1,SUP-008,MAT-014,103159,0.8685,89593.5915,2025-07-13,2025-07-19,,Open,False,0.0
PO-000133,2025-01-01,PLT-OH1,SUP-008,MAT-015,99063,1.1685,115755.1155,2025-01-28,2025-01-28,2025-01-28,Received,False,0.0
PO-000134,2025-01-15,PLT-OH1,SUP-008,MAT-015,88515,1.1685,103429.7775,2025-02-11,2025-02-14,2025-02-11,Received,False,0.0
PO-000135,2025-02-03,PLT-OH1,SUP-008,MAT-015,107596,1.1685,125725.926,2025-03-02,2025-03-04,2025-03-02,Received,False,0.0
PO-000136,2025-02-17,PLT-OH1,SUP-008,MAT-015,94299,1.1685,110188.3815,2025-03-16,2025-03-18,2025-03-16,Received,False,0.0
PO-000137,2025-03-03,PLT-OH1,SUP-008,MAT-015,100625,1.1685,117580.3125,2025-03-30,2025-03-31,2025-03-30,Received,False,0.0
PO-000138,2025-03-17,PLT-OH1,SUP-008,MAT-015,95636,1.1685,111750.666,2025-04-13,2025-03-26,,In Transit,True,9874.1888
PO-000139,2025-04-01,PLT-OH1,SUP-008,MAT-015,83486,1.1685,97553.391,2025-04-28,2025-04-29,,In Transit,False,0.0
PO-000140,2025-04-15,PLT-OH1,SUP-008,MAT-015,108265,1.1685,126507.6525,2025-05-12,2025-05-13,,Open,False,0.0
PO-000141,2025-05-01,PLT-OH1,SUP-008,MAT-015,86961,1.1685,101613.9285,2025-05-28,2025-05-28,,Open,False,0.0
PO-000142,2025-05-15,PLT-OH1,SUP-008,MAT-015,107751,1.1685,125907.0435,2025-06-11,2025-06-14,,Open,False,0.0
PO-000143,2025-06-02,PLT-OH1,SUP-008,MAT-015,94818,1.1685,110794.833,2025-06-29,2025-06-30,,Open,False,0.0
PO-000144,2025-06-16,PLT-OH1,SUP-008,MAT-015,94754,1.1685,110720.049,2025-07-13,2025-07-16,,Open,False,0.0
PO-000145,2025-01-01,PLT-OH1,SUP-018,MAT-018,505,17.9998,9089.899,2025-01-30,2025-02-01,2025-02-11,Received,False,0.0
PO-000146,2025-01-15,PLT-OH1,SUP-018,MAT-018,517,17.9998,9305.8966,2025-02-13,2025-02-15,2025-02-13,Received,False,0.0
PO-000147,2025-02-03,PLT-OH1,SUP-018,MAT-018,477,17.9998,8585.9046,2025-03-04,2025-03-06,2025-03-08,Received,False,0.0
PO-000148,2025-02-17,PLT-OH1,SUP-018,MAT-018,492,17.9998,8855.9016,2025-03-18,2025-03-20,2025-03-18,Received,False,0.0
PO-000149,2025-03-03,PLT-OH1,SUP-018,MAT-018,539,17.9998,9701.8922,2025-04-01,2025-04-05,2025-04-01,Received,False,0.0
PO-000150,2025-03-17,PLT-OH1,SUP-018,MAT-018,498,17.9998,8963.9004,2025-04-15,2025-04-19,,In Transit,False,0.0
PO-000151,2025-04-01,PLT-OH1,SUP-018,MAT-018,517,17.9998,9305.8966,2025-04-30,2025-05-06,,In Transit,False,0.0
PO-000152,2025-04-15,PLT-OH1,SUP-018,MAT-018,534,17.9998,9611.8932,2025-05-14,2025-05-16,,Open,False,0.0
PO-000153,2025-05-01,PLT-OH1,SUP-018,MAT-018,518,17.9998,9323.8964,2025-05-30,2025-06-03,,Open,False,0.0
PO-000154,2025-05-15,PLT-OH1,SUP-018,MAT-018,533,17.9998,9593.8934,2025-06-13,2025-06-15,,Open,False,0.0
PO-000155,2025-06-02,PLT-OH1,SUP-018,MAT-018,497,17.9998,8945.9006,2025-07-01,2025-07-04,,Open,True,834.7994
PO-000156,2025-06-16,PLT-OH1,SUP-018,MAT-018,500,17.9998,8999.9,2025-07-15,2025-07-15,,Open,True,1077.3348
PO-000157,2025-01-01,PLT-OH1,SUP-009,MAT-019,297192,0.6327,188033.3784,2025-01-25,2025-01-27,2025-01-25,Received,False,0.0
PO-000158,2025-01-15,PLT-OH1,SUP-009,MAT-019,289893,0.6327,183415.3011,2025-02-08,2025-02-10,2025-02-08,Received,False,0.0
PO-000159,2025-02-03,PLT-OH1,SUP-009,MAT-019,253878,0.6327,160628.6106,2025-02-27,2025-03-04,2025-02-27,Received,False,0.0
PO-000160,2025-02-17,PLT-OH1,SUP-009,MAT-019,250565,0.6327,158532.4755,2025-03-13,2025-03-14,2025-03-13,Received,False,0.0
PO-000161,2025-03-03,PLT-OH1,SUP-009,MAT-019,334523,0.6327,211652.7021,2025-03-27,2025-03-31,2025-03-27,Received,False,0.0
PO-000162,2025-03-17,PLT-OH1,SUP-009,MAT-019,309212,0.6327,195638.4324,2025-04-10,2025-04-14,,In Transit,False,0.0
PO-000163,2025-04-01,PLT-OH1,SUP-009,MAT-019,318076,0.6327,201246.6852,2025-04-25,2025-04-26,,In Transit,False,0.0
PO-000164,2025-04-15,PLT-OH1,SUP-009,MAT-019,315264,0.6327,199467.5328,2025-05-09,2025-05-13,,Open,False,0.0
PO-000165,2025-05-01,PLT-OH1,SUP-009,MAT-019,275690,0.6327,174429.063,2025-05-25,2025-05-30,,Open,True,16164.6222
PO-000166,2025-05-15,PLT-OH1,SUP-009,MAT-019,314227,0.6327,198811.4229,2025-06-08,2025-06-08,,Open,False,0.0
PO-000167,2025-06-02,PLT-OH1,SUP-009,MAT-019,301912,0.6327,191019.7224,2025-06-26,2025-07-01,,Open,False,0.0
PO-000168,2025-06-16,PLT-OH1,SUP-009,MAT-019,262268,0.6327,165936.9636,2025-07-10,2025-07-14,,Open,False,0.0
PO-000169,2025-01-01,PLT-OH1,SUP-009,MAT-020,263262,0.4188,110254.1256,2025-01-25,2025-01-25,2025-01-25,Received,False,0.0
PO-000170,2025-01-15,PLT-OH1,SUP-009,MAT-020,254188,0.4188,106453.9344,2025-02-08,2025-02-08,2025-02-08,Received,False,0.0
PO-000171,2025-02-03,PLT-OH1,SUP-009,MAT-020,213664,0.4188,89482.4832,2025-02-27,2025-03-02,2025-02-27,Received,False,0.0
PO-000172,2025-02-17,PLT-OH1,SUP-009,MAT-020,265538,0.4188,111207.3144,2025-03-13,2025-03-15,2025-03-13,Received,False,0.0
PO-000173,2025-03-03,PLT-OH1,SUP-009,MAT-020,220147,0.4188,92197.5636,2025-03-27,2025-03-30,2025-03-27,Received,False,0.0
PO-000174,2025-03-17,PLT-OH1,SUP-009,MAT-020,270950,0.4188,113473.86,2025-04-10,2025-04-12,,In Transit,False,0.0
PO-000175,2025-04-01,PLT-OH1,SUP-009,MAT-020,236089,0.4188,98874.0732,2025-04-25,2025-04-27,,In Transit,False,0.0
PO-000176,2025-04-15,PLT-OH1,SUP-009,MAT-020,239760,0.4188,100411.488,2025-05-09,2025-05-11,,Open,False,0.0
PO-000177,2025-05-01,PLT-OH1,SUP-009,MAT-020,208280,0.4188,87227.664,2025-05-25,2025-05-25,,Open,False,0.0
PO-000178,2025-05-15,PLT-OH1,SUP-009,MAT-020,256619,0.4188,107472.0372,2025-06-08,2025-06-08,,Open,False,0.0
PO-000179,2025-06-02,PLT-OH1,SUP-009,MAT-020,277120,0.4188,116057.856,2025-06-26,2025-06-26,,Open,False,0.0
PO-000180,2025-06-16,PLT-OH1,SUP-009,MAT-020,230647,0.4188,96594.9636,2025-07-10,2025-07-12,,Open,False,0.0
PO-000181,2025-01-01,PLT-OH1,SUP-018,MAT-021,194048,0.2821,54740.9408,2025-01-30,2025-02-03,2025-01-30,Received,False,0.0
PO-000182,2025-01-15,PLT-OH1,SUP-018,MAT-021,175070,0.2821,49387.247,2025-02-13,2025-02-14,2025-02-15,Received,False,0.0
PO-000183,2025-02-03,PLT-OH1,SUP-018,MAT-021,180404,0.2821,50891.9684,2025-03-04,2025-03-05,2025-03-04,Received,False,0.0
PO-000184,2025-02-17,PLT-OH1,SUP-018,MAT-021,175549,0.2821,49522.3729,2025-03-18,2025-03-22,2025-03-18,Received,False,0.0
PO-000185,2025-03-03,PLT-OH1,SUP-018,MAT-021,150927,0.2821,42576.5067,2025-04-01,2025-04-03,2025-04-03,Received,False,0.0
PO-000186,2025-03-17,PLT-OH1,SUP-018,MAT-021,198025,0.2821,55862.8525,2025-04-15,2025-04-19,,In Transit,False,0.0
PO-000187,2025-04-01,PLT-OH1,SUP-018,MAT-021,176136,0.2821,49687.9656,2025-04-30,2025-05-01,,In Transit,False,0.0
PO-000188,2025-04-15,PLT-OH1,SUP-018,MAT-021,180603,0.2821,50948.1063,2025-05-14,2025-05-16,,Open,False,0.0
PO-000189,2025-05-01,PLT-OH1,SUP-018,MAT-021,198171,0.2821,55904.0391,2025-05-30,2025-06-03,,Open,False,0.0
