plant_id,material_id,week_start,forecast_demand,lower_bound,upper_bound,actual_demand,is_future
PLT-AL1,MAT-004,2025-02-03,373.42,371.49,375.34,373.68,False
PLT-AL1,MAT-004,2025-02-10,375.6,373.67,377.52,374.84,False
PLT-AL1,MAT-004,2025-02-17,372.44,370.51,374.36,371.91,False
PLT-AL1,MAT-004,2025-02-24,369.56,367.63,371.48,370.03,False
PLT-AL1,MAT-004,2025-03-03,384.07,382.14,385.99,384.41,False
PLT-AL1,MAT-004,2025-03-10,381.11,379.18,383.03,381.24,False
PLT-AL1,MAT-004,2025-03-17,381.93,380.01,383.86,387.75,False
PLT-AL1,MAT-004,2025-03-24,378.75,376.82,380.67,385.72,False
PLT-AL1,MAT-004,2025-03-31,381.88,379.95,383.8,409.75,False
PLT-AL1,MAT-004,2025-04-07,381.38,379.46,383.31,,True
PLT-AL1,MAT-004,2025-04-14,383.5,380.78,386.23,,True
PLT-AL1,MAT-004,2025-04-21,383.77,380.44,387.11,,True
PLT-AL1,MAT-004,2025-04-28,383.54,379.69,387.39,,True
PLT-AL1,MAT-004,2025-05-05,383.54,379.24,387.85,,True
PLT-AL1,MAT-004,2025-05-12,383.54,378.83,388.26,,True
PLT-AL1,MAT-004,2025-05-19,383.54,378.45,388.64,,True
PLT-AL1,MAT-004,2025-05-26,383.54,378.1,388.99,,True
PLT-AL1,MAT-004,2025-06-02,383.54,377.76,389.32,,True
PLT-AL1,MAT-004,2025-06-09,383.54,377.45,389.63,,True
PLT-AL1,MAT-004,2025-06-16,383.54,377.15,389.93,,True
PLT-AL1,MAT-004,2025-06-23,383.54,376.87,390.21,,True
PLT-AL1,MAT-004,2025-06-30,383.54,376.6,390.48,,True
PLT-AL1,MAT-005,2024-12-30,64.37,63.8,64.95,64.77,False
PLT-AL1,MAT-005,2025-01-06,107.19,106.62,107.77,106.92,False
PLT-AL1,MAT-005,2025-01-13,106.62,106.04,107.2,106.45,False
PLT-AL1,MAT-005,2025-01-20,107.84,107.26,108.42,108.13,False
PLT-AL1,MAT-005,2025-01-27,109.64,109.06,110.22,109.88,False
PLT-AL1,MAT-005,2025-02-03,112.03,111.45,112.6,112.11,False
PLT-AL1,MAT-005,2025-02-10,112.68,112.1,113.26,112.45,False
PLT-AL1,MAT-005,2025-02-17,111.73,111.15,112.31,111.57,False
PLT-AL1,MAT-005,2025-02-24,110.87,110.29,111.44,111.01,False
PLT-AL1,MAT-005,2025-03-03,115.22,114.64,115.8,115.32,False
PLT-AL1,MAT-005,2025-03-10,114.33,113.75,114.91,114.37,False
PLT-AL1,MAT-005,2025-03-17,114.58,114.0,115.16,116.32,False
PLT-AL1,MAT-005,2025-03-24,113.62,113.05,114.2,115.72,False
PLT-AL1,MAT-005,2025-03-31,114.56,113.99,115.14,122.93,False
PLT-AL1,MAT-005,2025-04-07,114.41,113.84,114.99,,True
PLT-AL1,MAT-005,2025-04-14,115.05,114.23,115.87,,True
PLT-AL1,MAT-005,2025-04-21,115.13,114.13,116.13,,True
PLT-AL1,MAT-005,2025-04-28,115.06,113.91,116.22,,True
PLT-AL1,MAT-005,2025-05-05,115.06,113.77,116.35,,True
PLT-AL1,MAT-005,2025-05-12,115.06,113.65,116.48,,True
PLT-AL1,MAT-005,2025-05-19,115.06,113.53,116.59,,True
PLT-AL1,MAT-005,2025-05-26,115.06,113.43,116.7,,True
PLT-AL1,MAT-005,2025-06-02,115.06,113.33,116.8,,True
PLT-AL1,MAT-005,2025-06-09,115.06,113.24,116.89,,True
PLT-AL1,MAT-005,2025-06-16,115.06,113.15,116.98,,True
PLT-AL1,MAT-005,2025-06-23,115.06,113.06,117.06,,True
PLT-AL1,MAT-005,2025-06-30,115.06,112.98,117.14,,True
PLT-AL1,MAT-006,2024-12-30,21.46,21.27,21.65,21.59,False
PLT-AL1,MAT-006,2025-01-06,35.73,35.54,35.92,35.64,False
PLT-AL1,MAT-006,2025-01-13,35.54,35.35,35.73,35.48,False
PLT-AL1,MAT-006,2025-01-20,35.95,35.75,36.14,36.04,False
PLT-AL1,MAT-006,2025-01-27,36.55,36.35,36.74,36.63,False
PLT-AL1,MAT-006,2025-02-03,37.34,37.15,37.53,37.37,False
PLT-AL1,MAT-006,2025-02-10,37.56,37.37,37.75,37.48,False
PLT-AL1,MAT-006,2025-02-17,37.24,37.05,37.44,37.19,False
PLT-AL1,MAT-006,2025-02-24,36.96,36.76,37.15,37.0,False
PLT-AL1,MAT-006,2025-03-03,38.41,38.21,38.6,38.44,False
PLT-AL1,MAT-006,2025-03-10,38.11,37.92,38.3,38.12,False
PLT-AL1,MAT-006,2025-03-17,38.19,38.0,38.39,38.77,False
PLT-AL1,MAT-006,2025-03-24,37.87,37.68,38.07,38.57,False
PLT-AL1,MAT-006,2025-03-31,38.19,38.0,38.38,40.98,False
PLT-AL1,MAT-006,2025-04-07,38.14,37.95,38.33,,True
PLT-AL1,MAT-006,2025-04-14,38.35,38.08,38.62,,True
PLT-AL1,MAT-006,2025-04-21,38.38,38.04,38.71,,True
PLT-AL1,MAT-006,2025-04-28,38.35,37.97,38.74,,True
PLT-AL1,MAT-006,2025-05-05,38.35,37.92,38.78,,True
PLT-AL1,MAT-006,2025-05-12,38.35,37.88,38.83,,True
PLT-AL1,MAT-006,2025-05-19,38.35,37.84,38.86,,True
PLT-AL1,MAT-006,2025-05-26,38.35,37.81,38.9,,True
PLT-AL1,MAT-006,2025-06-02,38.35,37.78,38.93,,True
PLT-AL1,MAT-006,2025-06-09,38.35,37.75,38.96,,True
PLT-AL1,MAT-006,2025-06-16,38.35,37.72,38.99,,True
PLT-AL1,MAT-006,2025-06-23,38.35,37.69,39.02,,True
PLT-AL1,MAT-006,2025-06-30,38.35,37.66,39.05,,True
PLT-AL1,MAT-007,2024-12-30,32.19,31.9,32.47,32.39,False
PLT-AL1,MAT-007,2025-01-06,53.6,53.31,53.89,53.46,False
PLT-AL1,MAT-007,2025-01-13,53.31,53.02,53.6,53.23,False
PLT-AL1,MAT-007,2025-01-20,53.92,53.63,54.21,54.06,False
PLT-AL1,MAT-007,2025-01-27,54.82,54.53,55.11,54.94,False
PLT-AL1,MAT-007,2025-02-03,56.01,55.72,56.3,56.05,False
PLT-AL1,MAT-007,2025-02-10,56.34,56.05,56.63,56.23,False
PLT-AL1,MAT-007,2025-02-17,55.87,55.58,56.15,55.79,False
PLT-AL1,MAT-007,2025-02-24,55.43,55.15,55.72,55.5,False
PLT-AL1,MAT-007,2025-03-03,57.61,57.32,57.9,57.66,False
PLT-AL1,MAT-007,2025-03-10,57.17,56.88,57.45,57.19,False
PLT-AL1,MAT-007,2025-03-17,57.29,57.0,57.58,58.16,False
PLT-AL1,MAT-007,2025-03-24,56.81,56.52,57.1,57.86,False
PLT-AL1,MAT-007,2025-03-31,57.28,56.99,57.57,61.46,False
PLT-AL1,MAT-007,2025-04-07,57.21,56.92,57.5,,True
PLT-AL1,MAT-007,2025-04-14,57.53,57.12,57.93,,True
PLT-AL1,MAT-007,2025-04-21,57.57,57.07,58.07,,True
PLT-AL1,MAT-007,2025-04-28,57.53,56.95,58.11,,True
PLT-AL1,MAT-007,2025-05-05,57.53,56.89,58.18,,True
PLT-AL1,MAT-007,2025-05-12,57.53,56.82,58.24,,True
PLT-AL1,MAT-007,2025-05-19,57.53,56.77,58.3,,True
PLT-AL1,MAT-007,2025-05-26,57.53,56.71,58.35,,True
PLT-AL1,MAT-007,2025-06-02,57.53,56.66,58.4,,True
PLT-AL1,MAT-007,2025-06-09,57.53,56.62,58.44,,True
PLT-AL1,MAT-007,2025-06-16,57.53,56.57,58.49,,True
PLT-AL1,MAT-007,2025-06-23,57.53,56.53,58.53,,True
PLT-AL1,MAT-007,2025-06-30,57.53,56.49,58.57,,True
PLT-AL1,MAT-008,2024-12-30,10.73,10.63,10.82,10.8,False
PLT-AL1,MAT-008,2025-01-06,17.87,17.77,17.96,17.82,False
PLT-AL1,MAT-008,2025-01-13,17.77,17.67,17.87,17.74,False
PLT-AL1,MAT-008,2025-01-20,17.97,17.88,18.07,18.02,False
PLT-AL1,MAT-008,2025-01-27,18.27,18.18,18.37,18.31,False
PLT-AL1,MAT-008,2025-02-03,18.67,18.57,18.77,18.68,False
PLT-AL1,MAT-008,2025-02-10,18.78,18.68,18.88,18.74,False
PLT-AL1,MAT-008,2025-02-17,18.62,18.53,18.72,18.6,False
PLT-AL1,MAT-008,2025-02-24,18.48,18.38,18.57,18.5,False
PLT-AL1,MAT-008,2025-03-03,19.2,19.11,19.3,19.22,False
PLT-AL1,MAT-008,2025-03-10,19.06,18.96,19.15,19.06,False
PLT-AL1,MAT-008,2025-03-17,19.1,19.0,19.19,19.39,False
PLT-AL1,MAT-008,2025-03-24,18.94,18.84,19.03,19.29,False
PLT-AL1,MAT-008,2025-03-31,19.09,19.0,19.19,20.49,False
PLT-AL1,MAT-008,2025-04-07,19.07,18.97,19.17,,True
PLT-AL1,MAT-008,2025-04-14,19.18,19.04,19.31,,True
PLT-AL1,MAT-008,2025-04-21,19.19,19.02,19.36,,True
PLT-AL1,MAT-008,2025-04-28,19.18,18.98,19.37,,True
PLT-AL1,MAT-008,2025-05-05,19.18,18.96,19.39,,True
PLT-AL1,MAT-008,2025-05-12,19.18,18.94,19.41,,True
PLT-AL1,MAT-008,2025-05-19,19.18,18.92,19.43,,True
PLT-AL1,MAT-008,2025-05-26,19.18,18.9,19.45,,True
PLT-AL1,MAT-008,2025-06-02,19.18,18.89,19.47,,True
PLT-AL1,MAT-008,2025-06-09,19.18,18.87,19.48,,True
PLT-AL1,MAT-008,2025-06-16,19.18,18.86,19.5,,True
PLT-AL1,MAT-008,2025-06-23,19.18,18.84,19.51,,True
PLT-AL1,MAT-008,2025-06-30,19.18,18.83,19.52,,True
PLT-AL1,MAT-009,2024-12-30,10.73,10.63,10.82,10.8,False
PLT-AL1,MAT-009,2025-01-06,17.87,17.77,17.96,17.82,False
PLT-AL1,MAT-009,2025-01-13,17.77,17.67,17.87,17.74,False
PLT-AL1,MAT-009,2025-01-20,17.97,17.88,18.07,18.02,False
PLT-AL1,MAT-009,2025-01-27,18.27,18.18,18.37,18.31,False
PLT-AL1,MAT-009,2025-02-03,18.67,18.57,18.77,18.68,False
PLT-AL1,MAT-009,2025-02-10,18.78,18.68,18.88,18.74,False
PLT-AL1,MAT-009,2025-02-17,18.62,18.53,18.72,18.6,False
PLT-AL1,MAT-009,2025-02-24,18.48,18.38,18.57,18.5,False
PLT-AL1,MAT-009,2025-03-03,19.2,19.11,19.3,19.22,False
PLT-AL1,MAT-009,2025-03-10,19.06,18.96,19.15,19.06,False
PLT-AL1,MAT-009,2025-03-17,19.1,19.0,19.19,19.39,False
PLT-AL1,MAT-009,2025-03-24,18.94,18.84,19.03,19.29,False
PLT-AL1,MAT-009,2025-03-31,19.09,19.0,19.19,20.49,False
PLT-AL1,MAT-009,2025-04-07,19.07,18.97,19.17,,True
PLT-AL1,MAT-009,2025-04-14,19.18,19.04,19.31,,True
PLT-AL1,MAT-009,2025-04-21,19.19,19.02,19.36,,True
PLT-AL1,MAT-009,2025-04-28,19.18,18.98,19.37,,True
PLT-AL1,MAT-009,2025-05-05,19.18,18.96,19.39,,True
PLT-AL1,MAT-009,2025-05-12,19.18,18.94,19.41,,True
PLT-AL1,MAT-009,2025-05-19,19.18,18.92,19.43,,True
PLT-AL1,MAT-009,2025-05-26,19.18,18.9,19.45,,True
PLT-AL1,MAT-009,2025-06-02,19.18,18.89,19.47,,True
PLT-AL1,MAT-009,2025-06-09,19.18,18.87,19.48,,True
PLT-AL1,MAT-009,2025-06-16,19.18,18.86,19.5,,True
PLT-AL1,MAT-009,2025-06-23,19.18,18.84,19.51,,True
PLT-AL1,MAT-009,2025-06-30,19.18,18.83,19.52,,True
PLT-AL1,MAT-010,2024-12-30,5.36,5.32,5.41,5.4,False
PLT-AL1,MAT-010,2025-01-06,8.93,8.88,8.98,8.91,False
PLT-AL1,MAT-010,2025-01-13,8.88,8.84,8.93,8.87,False
PLT-AL1,MAT-010,2025-01-20,8.99,8.94,9.03,9.01,False
PLT-AL1,MAT-010,2025-01-27,9.14,9.09,9.18,9.16,False
PLT-AL1,MAT-010,2025-02-03,9.34,9.29,9.38,9.34,False
PLT-AL1,MAT-010,2025-02-10,9.39,9.34,9.44,9.37,False
PLT-AL1,MAT-010,2025-02-17,9.31,9.26,9.36,9.3,False
PLT-AL1,MAT-010,2025-02-24,9.24,9.19,9.29,9.25,False
PLT-AL1,MAT-010,2025-03-03,9.6,9.55,9.65,9.61,False
PLT-AL1,MAT-010,2025-03-10,9.53,9.48,9.58,9.53,False
PLT-AL1,MAT-010,2025-03-17,9.55,9.5,9.6,9.69,False
PLT-AL1,MAT-010,2025-03-24,9.47,9.42,9.52,9.64,False
PLT-AL1,MAT-010,2025-03-31,9.55,9.5,9.6,10.24,False
PLT-AL1,MAT-010,2025-04-07,9.53,9.49,9.58,,True
PLT-AL1,MAT-010,2025-04-14,9.59,9.52,9.66,,True
PLT-AL1,MAT-010,2025-04-21,9.59,9.51,9.68,,True
PLT-AL1,MAT-010,2025-04-28,9.59,9.49,9.68,,True
PLT-AL1,MAT-010,2025-05-05,9.59,9.48,9.7,,True
PLT-AL1,MAT-010,2025-05-12,9.59,9.47,9.71,,True
PLT-AL1,MAT-010,2025-05-19,9.59,9.46,9.72,,True
PLT-AL1,MAT-010,2025-05-26,9.59,9.45,9.72,,True
PLT-AL1,MAT-010,2025-06-02,9.59,9.44,9.73,,True
PLT-AL1,MAT-010,2025-06-09,9.59,9.44,9.74,,True
PLT-AL1,MAT-010,2025-06-16,9.59,9.43,9.75,,True
PLT-AL1,MAT-010,2025-06-23,9.59,9.42,9.76,,True
PLT-AL1,MAT-010,2025-06-30,9.59,9.41,9.76,,True
PLT-AL1,MAT-011,2024-12-30,21457.5,21265.02,21649.98,21591.2,False
PLT-AL1,MAT-011,2025-01-06,35731.62,35538.92,35923.9,35640.4,False
PLT-AL1,MAT-011,2025-01-13,35539.24,35346.54,35731.72,35483.6,False
PLT-AL1,MAT-011,2025-01-20,35946.82,35754.34,36139.3,36043.2,False
PLT-AL1,MAT-011,2025-01-27,36547.18,36354.48,36739.66,36627.8,False
PLT-AL1,MAT-011,2025-02-03,37341.92,37149.44,37534.4,37368.4,False
PLT-AL1,MAT-011,2025-02-10,37559.76,37367.28,37752.46,37484.0,False
PLT-AL1,MAT-011,2025-02-17,37243.56,37051.08,37436.26,37191.0,False
PLT-AL1,MAT-011,2025-02-24,36955.82,36763.34,37148.3,37002.8,False
PLT-AL1,MAT-011,2025-03-03,38406.62,38214.14,38599.32,38441.2,False
PLT-AL1,MAT-011,2025-03-10,38110.76,37918.06,38303.24,38123.6,False
PLT-AL1,MAT-011,2025-03-17,38193.28,38000.8,38385.98,38774.6,False
PLT-AL1,MAT-011,2025-03-24,37874.66,37681.96,38067.14,38572.2,False
PLT-AL1,MAT-011,2025-03-31,38187.86,37995.38,38380.34,40975.4,False
PLT-AL1,MAT-011,2025-04-07,38138.26,37945.78,38330.74,,True
PLT-AL1,MAT-011,2025-04-14,38350.16,38078.0,38622.52,,True
PLT-AL1,MAT-011,2025-04-21,38377.22,38043.88,38710.78,,True
PLT-AL1,MAT-011,2025-04-28,38354.12,37968.94,38739.08,,True
PLT-AL1,MAT-011,2025-05-05,38354.12,37923.68,38784.76,,True
PLT-AL1,MAT-011,2025-05-12,38354.12,37882.68,38825.76,,True
PLT-AL1,MAT-011,2025-05-19,38354.12,37844.66,38863.58,,True
PLT-AL1,MAT-011,2025-05-26,38354.12,37809.6,38898.64,,True
PLT-AL1,MAT-011,2025-06-02,38354.12,37776.46,38931.78,,True
PLT-AL1,MAT-011,2025-06-09,38354.12,37745.22,38962.8,,True
PLT-AL1,MAT-011,2025-06-16,38354.12,37715.48,38992.54,,True
PLT-AL1,MAT-011,2025-06-23,38354.12,37687.22,39021.22,,True
PLT-AL1,MAT-011,2025-06-30,38354.12,37659.82,39048.2,,True
PLT-AL1,MAT-012,2024-12-30,21457.5,21265.02,21649.98,21591.2,False
PLT-AL1,MAT-012,2025-01-06,35731.62,35538.92,35923.9,35640.4,False
PLT-AL1,MAT-012,2025-01-13,35539.24,35346.54,35731.72,35483.6,False
PLT-AL1,MAT-012,2025-01-20,35946.82,35754.34,36139.3,36043.2,False
PLT-AL1,MAT-012,2025-01-27,36547.18,36354.48,36739.66,36627.8,False
PLT-AL1,MAT-012,2025-02-03,37341.92,37149.44,37534.4,37368.4,False
PLT-AL1,MAT-012,2025-02-10,37559.76,37367.28,37752.46,37484.0,False
PLT-AL1,MAT-012,2025-02-17,37243.56,37051.08,37436.26,37191.0,False
PLT-AL1,MAT-012,2025-02-24,36955.82,36763.34,37148.3,37002.8,False
PLT-AL1,MAT-012,2025-03-03,38406.62,38214.14,38599.32,38441.2,False
PLT-AL1,MAT-012,2025-03-10,38110.76,37918.06,38303.24,38123.6,False
PLT-AL1,MAT-012,2025-03-17,38193.28,38000.8,38385.98,38774.6,False
PLT-AL1,MAT-012,2025-03-24,37874.66,37681.96,38067.14,38572.2,False
PLT-AL1,MAT-012,2025-03-31,38187.86,37995.38,38380.34,40975.4,False
PLT-AL1,MAT-012,2025-04-07,38138.26,37945.78,38330.74,,True
PLT-AL1,MAT-012,2025-04-14,38350.16,38078.0,38622.52,,True
PLT-AL1,MAT-012,2025-04-21,38377.22,38043.88,38710.78,,True
PLT-AL1,MAT-012,2025-04-28,38354.12,37968.94,38739.08,,True
PLT-AL1,MAT-012,2025-05-05,38354.12,37923.68,38784.76,,True
PLT-AL1,MAT-012,2025-05-12,38354.12,37882.68,38825.76,,True
PLT-AL1,MAT-012,2025-05-19,38354.12,37844.66,38863.58,,True
PLT-AL1,MAT-012,2025-05-26,38354.12,37809.6,38898.64,,True
PLT-AL1,MAT-012,2025-06-02,38354.12,37776.46,38931.78,,True
PLT-AL1,MAT-012,2025-06-09,38354.12,37745.22,38962.8,,True
PLT-AL1,MAT-012,2025-06-16,38354.12,37715.48,38992.54,,True
PLT-AL1,MAT-012,2025-06-23,38354.12,37687.22,39021.22,,True
PLT-AL1,MAT-012,2025-06-30,38354.12,37659.82,39048.2,,True
PLT-AL1,MAT-013,2024-12-30,10728.75,10632.51,10824.99,10795.6,False
PLT-AL1,MAT-013,2025-01-06,17865.81,17769.46,17961.95,17820.2,False
PLT-AL1,MAT-013,2025-01-13,17769.62,17673.27,17865.86,17741.8,False
PLT-AL1,MAT-013,2025-01-20,17973.41,17877.17,18069.65,18021.6,False
PLT-AL1,MAT-013,2025-01-27,18273.59,18177.24,18369.83,18313.9,False
PLT-AL1,MAT-013,2025-02-03,18670.96,18574.72,18767.2,18684.2,False
PLT-AL1,MAT-013,2025-02-10,18779.88,18683.64,18876.23,18742.0,False
PLT-AL1,MAT-013,2025-02-17,18621.78,18525.54,18718.13,18595.5,False
PLT-AL1,MAT-013,2025-02-24,18477.91,18381.67,18574.15,18501.4,False
PLT-AL1,MAT-013,2025-03-03,19203.31,19107.07,19299.66,19220.6,False
PLT-AL1,MAT-013,2025-03-10,19055.38,18959.03,19151.62,19061.8,False
PLT-AL1,MAT-013,2025-03-17,19096.64,19000.4,19192.99,19387.3,False
PLT-AL1,MAT-013,2025-03-24,18937.33,18840.98,19033.57,19286.1,False
PLT-AL1,MAT-013,2025-03-31,19093.93,18997.69,19190.17,20487.7,False
PLT-AL1,MAT-013,2025-04-07,19069.13,18972.89,19165.37,,True
PLT-AL1,MAT-013,2025-04-14,19175.08,19039.0,19311.26,,True
PLT-AL1,MAT-013,2025-04-21,19188.61,19021.94,19355.39,,True
PLT-AL1,MAT-013,2025-04-28,19177.06,18984.47,19369.54,,True
PLT-AL1,MAT-013,2025-05-05,19177.06,18961.84,19392.38,,True
PLT-AL1,MAT-013,2025-05-12,19177.06,18941.34,19412.88,,True
PLT-AL1,MAT-013,2025-05-19,19177.06,18922.33,19431.79,,True
PLT-AL1,MAT-013,2025-05-26,19177.06,18904.8,19449.32,,True
PLT-AL1,MAT-013,2025-06-02,19177.06,18888.23,19465.89,,True
PLT-AL1,MAT-013,2025-06-09,19177.06,18872.61,19481.4,,True
PLT-AL1,MAT-013,2025-06-16,19177.06,18857.74,19496.27,,True
PLT-AL1,MAT-013,2025-06-23,19177.06,18843.61,19510.61,,True
PLT-AL1,MAT-013,2025-06-30,19177.06,18829.91,19524.1,,True
PLT-AL1,MAT-014,2024-12-30,10728.75,10632.51,10824.99,10795.6,False
PLT-AL1,MAT-014,2025-01-06,17865.81,17769.46,17961.95,17820.2,False
PLT-AL1,MAT-014,2025-01-13,17769.62,17673.27,17865.86,17741.8,False
