plant_id,product_id,week_start,actual_modules,forecast_modules,lower_bound,upper_bound,is_future
PLT-OH1,FS7-500W,2025-04-07,,6696.6,6670.6,6722.6,True
PLT-OH1,FS7-500W,2025-04-14,,6736.4,6699.7,6773.2,True
PLT-OH1,FS7-500W,2025-04-21,,6690.1,6645.1,6735.1,True
PLT-OH1,FS7-500W,2025-04-28,,6723.7,6671.7,6775.6,True
PLT-OH1,FS7-500W,2025-05-05,,6734.0,6675.9,6792.1,True
PLT-OH1,FS7-500W,2025-05-12,,6690.1,6626.4,6753.8,True
PLT-OH1,FS7-500W,2025-05-19,,6723.7,6654.9,6792.4,True
PLT-OH1,FS7-500W,2025-05-26,,6734.0,6660.5,6807.5,True
PLT-OH2,FS6-450W,2024-12-30,4423.0,4401.7,4370.9,4432.5,False
PLT-OH2,FS6-450W,2025-01-06,7250.0,7238.9,7208.1,7269.6,False
PLT-OH2,FS6-450W,2025-01-13,7476.0,7492.0,7461.2,7522.8,False
PLT-OH2,FS6-450W,2025-01-20,7470.0,7447.1,7416.3,7477.9,False
PLT-OH2,FS6-450W,2025-01-27,7383.0,7402.3,7371.5,7433.0,False
PLT-OH2,FS6-450W,2025-02-03,7712.0,7702.3,7671.5,7733.1,False
PLT-OH2,FS6-450W,2025-02-10,7673.0,7690.5,7659.7,7721.2,False
PLT-OH2,FS6-450W,2025-02-17,7688.0,7685.9,7655.1,7716.7,False
PLT-OH2,FS6-450W,2025-02-24,7824.0,7806.4,7775.6,7837.2,False
PLT-OH2,FS6-450W,2025-03-03,7795.0,7821.1,7790.4,7851.9,False
PLT-OH2,FS6-450W,2025-03-10,7862.0,7860.2,7829.4,7890.9,False
PLT-OH2,FS6-450W,2025-03-17,8002.0,8053.6,8022.9,8084.4,False
PLT-OH2,FS6-450W,2025-03-24,8061.0,7972.0,7941.3,8002.8,False
PLT-OH2,FS6-450W,2025-03-31,8708.0,7941.2,7910.4,7971.9,False
PLT-OH2,FS6-450W,2025-04-07,,7941.2,7910.4,7971.9,True
PLT-OH2,FS6-450W,2025-04-14,,7985.2,7941.7,8028.7,True
PLT-OH2,FS6-450W,2025-04-21,,7932.7,7879.4,7986.0,True
PLT-OH2,FS6-450W,2025-04-28,,7986.3,7924.8,8047.9,True
PLT-OH2,FS6-450W,2025-05-05,,7932.7,7863.9,8001.6,True
PLT-OH2,FS6-450W,2025-05-12,,7986.3,7910.9,8061.7,True
PLT-OH2,FS6-450W,2025-05-19,,7932.7,7851.3,8014.2,True
PLT-OH2,FS6-450W,2025-05-26,,7986.3,7899.3,8073.4,True
PLT-OH2,FS7-500W,2024-12-30,7993.0,8044.6,7989.0,8100.2,False
PLT-OH2,FS7-500W,2025-01-06,13320.0,13325.1,13269.6,13380.7,False
PLT-OH2,FS7-500W,2025-01-13,13479.0,13471.8,13416.2,13527.3,False
PLT-OH2,FS7-500W,2025-01-20,13277.0,13309.6,13254.0,13365.1,False
PLT-OH2,FS7-500W,2025-01-27,13407.0,13362.1,13306.5,13417.7,False
PLT-OH2,FS7-500W,2025-02-03,14026.0,14000.5,13944.9,14056.1,False
PLT-OH2,FS7-500W,2025-02-10,13817.0,13820.3,13764.7,13875.9,False
PLT-OH2,FS7-500W,2025-02-17,13794.0,13803.3,13747.8,13858.9,False
PLT-OH2,FS7-500W,2025-02-24,13761.0,13824.7,13769.2,13880.3,False
PLT-OH2,FS7-500W,2025-03-03,14600.0,14559.7,14504.1,14615.2,False
PLT-OH2,FS7-500W,2025-03-10,14366.0,14349.9,14294.4,14405.5,False
PLT-OH2,FS7-500W,2025-03-17,14497.0,14466.2,14410.7,14521.8,False
PLT-OH2,FS7-500W,2025-03-24,14559.0,14311.1,14255.6,14366.7,False
PLT-OH2,FS7-500W,2025-03-31,15622.0,14324.0,14268.4,14379.5,False
PLT-OH2,FS7-500W,2025-04-07,,14324.0,14268.4,14379.5,True
PLT-OH2,FS7-500W,2025-04-14,,14405.4,14326.9,14484.0,True
PLT-OH2,FS7-500W,2025-04-21,,14306.9,14210.7,14403.1,True
PLT-OH2,FS7-500W,2025-04-28,,14405.4,14294.3,14516.6,True
PLT-OH2,FS7-500W,2025-05-05,,14306.9,14182.7,14431.1,True
PLT-OH2,FS7-500W,2025-05-12,,14405.4,14269.4,14541.5,True
PLT-OH2,FS7-500W,2025-05-19,,14306.9,14159.9,14453.9,True
PLT-OH2,FS7-500W,2025-05-26,,14405.4,14248.3,14562.6,True
