recommendation_id,recommendation_date,plant_id,material_id,recommendation_type,priority,trigger_reason,recommended_qty,recommended_supplier_id,recommended_source_plant,estimated_cost,days_until_stockout,current_on_hand,safety_stock_level,days_forward_coverage,material_lead_time,lead_time_variability,action_taken
32,2025-06-22,PLT-AL1,MAT-047,NEW_PO,HIGH,"LOW INVENTORY: QoH=44731.9 < SafetyStock=70782.7, DFC=9.5d <= LT+Var=15d. No excess at other plants or freight cost exceeds PO cost",96834,SUP-019,,330339.51,9.48,44731.89,70782.73,9.48,13,2,True
33,2025-06-22,PLT-AL1,MAT-049,NEW_PO,HIGH,"LOW INVENTORY: QoH=890.9 < SafetyStock=896.6, DFC=18.9d <= LT+Var=19d. No excess at other plants or freight cost exceeds PO cost",902,SUP-011,,8021.58,18.88,890.91,896.58,18.88,16,3,False
34,2025-06-22,PLT-AL1,MAT-050,NEW_PO,HIGH,"LOW INVENTORY: QoH=684.5 < SafetyStock=707.8, DFC=14.5d <= LT+Var=15d. No excess at other plants or freight cost exceeds PO cost",731,SUP-019,,16517.31,14.51,684.53,707.83,14.51,13,2,False
35,2025-06-22,PLT-LA1,MAT-001,NEW_PO,HIGH,"LOW INVENTORY: QoH=49340.1 < SafetyStock=88812.3, DFC=25.0d <= LT+Var=45d. No excess at other plants or freight cost exceeds PO cost",128284,SUP-001,,3880578.17,25.0,49340.15,88812.27,25.0,40,5,False
36,2025-06-22,PLT-LA1,MAT-002,NEW_PO,HIGH,"LOW INVENTORY: QoH=47366.5 < SafetyStock=86838.7, DFC=24.0d <= LT+Var=44d. No excess at other plants or freight cost exceeds PO cost",126311,SUP-001,,2832309.45,24.0,47366.54,86838.66,24.0,40,4,False
37,2025-06-22,PLT-LA1,MAT-004,EXCESS_ALERT,LOW,"EXCESS INVENTORY: QoH=4480.5 > 3xSafetyStock=4144.6, DFC=113.5d > 2xLT=80d",2408,,,0,113.51,4480.53,1381.52,113.51,40,9,False
38,2025-06-22,PLT-LA1,MAT-005,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=698.0 < SafetyStock=947.3, DFC=59.0d <= LT+Var=80d. No excess at other plants or freight cost exceeds PO cost",1197,SUP-004,,378988.04,58.95,698.01,947.33,58.95,70,10,False
39,2025-06-22,PLT-LA1,MAT-006,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=197.8 < SafetyStock=327.6, DFC=50.1d <= LT+Var=83d. No excess at other plants or freight cost exceeds PO cost",457,SUP-004,,96426.13,50.11,197.78,327.62,50.11,70,13,True
40,2025-06-22,PLT-LA1,MAT-007,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=298.6 < SafetyStock=473.7, DFC=50.4d <= LT+Var=80d. No excess at other plants or freight cost exceeds PO cost",649,SUP-006,,112750.58,50.43,298.56,473.67,50.43,70,10,True
41,2025-06-22,PLT-LA1,MAT-008,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=83.8 < SafetyStock=138.2, DFC=42.5d <= LT+Var=70d. No excess at other plants or freight cost exceeds PO cost",250,SUP-005,,108307.42,42.48,83.85,138.15,42.48,60,10,True
42,2025-06-22,PLT-LA1,MAT-009,EXCESS_ALERT,LOW,"EXCESS INVENTORY: QoH=483.5 > 3xSafetyStock=461.8, DFC=245.0d > 2xLT=140d",253,,,0,244.96,483.46,153.94,244.96,70,8,False
43,2025-06-22,PLT-LA1,MAT-010,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=20.7 < SafetyStock=34.5, DFC=21.0d <= LT+Var=73d. No excess at other plants or freight cost exceeds PO cost",48,SUP-005,,474.69,20.99,20.71,34.54,20.99,60,13,False
44,2025-06-22,PLT-LA1,MAT-011,NEW_PO,HIGH,"LOW INVENTORY: QoH=145291.1 < SafetyStock=146046.8, DFC=36.8d <= LT+Var=37d. No excess at other plants or freight cost exceeds PO cost",146803,SUP-007,,995104.14,36.81,145291.08,146046.84,36.81,30,7,False
45,2025-06-22,PLT-LA1,MAT-012,TRANSFER,HIGH,"LOW INVENTORY: QoH=91298.4 < SafetyStock=130258.0, DFC=23.1d <= LT+Var=33d. Freight $27,720 (420 mi x 22 truck(s)) < New PO $671,779",169218,,PLT-AL1,27720.0,23.13,91298.38,130257.99,23.13,30,3,False
46,2025-06-22,PLT-LA1,MAT-013,NEW_PO,HIGH,"LOW INVENTORY: QoH=51007.1 < SafetyStock=65129.0, DFC=25.8d <= LT+Var=33d. No excess at other plants or freight cost exceeds PO cost",79251,SUP-007,,182404.1,25.84,51007.1,65129.0,25.84,30,3,False
47,2025-06-22,PLT-LA1,MAT-017,NEW_PO,HIGH,"LOW INVENTORY: QoH=36844.4 < SafetyStock=53287.4, DFC=18.7d <= LT+Var=27d. No excess at other plants or freight cost exceeds PO cost",69730,SUP-009,,141949.36,18.67,36844.41,53287.36,18.67,24,3,False
48,2025-06-22,PLT-LA1,MAT-020,EXCESS_ALERT,LOW,"EXCESS INVENTORY: QoH=417431.6 > 3xSafetyStock=399655.2, DFC=84.6d > 2xLT=48d",217604,,,0,84.6,417431.61,133218.4,84.6,24,3,False
49,2025-06-22,PLT-LA1,MAT-021,NEW_PO,HIGH,"LOW INVENTORY: QoH=66444.6 < SafetyStock=117232.2, DFC=18.7d <= LT+Var=33d. No excess at other plants or freight cost exceeds PO cost",168020,SUP-018,,47045.6,18.7,66444.55,117232.19,18.7,29,4,False
50,2025-06-22,PLT-LA1,MAT-023,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=714.5 < SafetyStock=1036.1, DFC=24.1d <= LT+Var=25d. No excess at other plants or freight cost exceeds PO cost",1358,SUP-011,,210731.45,24.14,714.5,1036.14,24.14,23,2,True
51,2025-06-22,PLT-LA1,MAT-027,NEW_PO,HIGH,"LOW INVENTORY: QoH=78.3 < SafetyStock=102.6, DFC=19.8d <= LT+Var=26d. No excess at other plants or freight cost exceeds PO cost",127,SUP-011,,597.15,19.83,78.29,102.63,19.83,23,3,True
52,2025-06-22,PLT-LA1,MAT-038,EXCESS_ALERT,LOW,"EXCESS INVENTORY: QoH=804.5 > 3xSafetyStock=781.5, DFC=135.9d > 2xLT=80d",414,,,0,135.87,804.49,260.52,135.87,40,4,False
53,2025-06-22,PLT-LA1,MAT-039,EXCESS_ALERT,LOW,"EXCESS INVENTORY: QoH=432.8 > 3xSafetyStock=414.5, DFC=109.6d > 2xLT=82d",226,,,0,109.64,432.78,138.15,109.64,41,4,False
54,2025-06-22,PLT-LA1,MAT-040,NEW_PO,HIGH,"LOW INVENTORY: QoH=29378.0 < SafetyStock=49340.1, DFC=29.8d <= LT+Var=50d. No excess at other plants or freight cost exceeds PO cost",69302,SUP-012,,1966049.23,29.77,29378.03,49340.15,29.77,41,9,False
55,2025-06-22,PLT-LA1,MAT-048,TRANSFER,HIGH,"LOW INVENTORY: QoH=28183.4 < SafetyStock=29604.1, DFC=14.3d <= LT+Var=15d. Freight $10,200 (850 mi x 4 truck(s)) < New PO $59,081",31025,,PLT-OH1,10200.0,14.28,28183.36,29604.09,14.28,13,2,False
56,2025-06-22,PLT-LA1,MAT-049,NEW_PO,HIGH,"LOW INVENTORY: QoH=281.3 < SafetyStock=375.0, DFC=14.2d <= LT+Var=19d. No excess at other plants or freight cost exceeds PO cost",469,SUP-011,,4174.33,14.25,281.29,374.99,14.25,16,3,False
