signal_id,signal_date,origin_port,origin_country,destination_port,destination_country,supplier_lane,commodity_category,export_volume_index,port_dwell_time_hours,vessel_truck_count,shipment_delay_flag,avg_transit_days,data_source,notes
27,2025-02-06,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,96.9,29.2,5,0,2.3,Simulated Marketplace Trade Dataset,
28,2025-02-07,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,97.1,20.9,5,0,3.0,Simulated Marketplace Trade Dataset,
29,2025-02-10,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,94.7,27.7,5,0,3.4,Simulated Marketplace Trade Dataset,
30,2025-02-11,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,99.5,25.4,5,0,2.4,Simulated Marketplace Trade Dataset,
31,2025-02-12,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,96.5,22.0,5,0,2.5,Simulated Marketplace Trade Dataset,
32,2025-02-13,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,100.9,25.0,5,0,2.9,Simulated Marketplace Trade Dataset,
33,2025-02-14,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,98.4,21.2,5,0,3.2,Simulated Marketplace Trade Dataset,
34,2025-02-17,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,90.8,29.0,5,0,3.0,Simulated Marketplace Trade Dataset,
35,2025-02-18,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,99.2,21.6,5,0,3.1,Simulated Marketplace Trade Dataset,
36,2025-02-19,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,106.1,24.6,5,0,3.3,Simulated Marketplace Trade Dataset,
37,2025-02-20,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,100.7,31.1,5,0,3.3,Simulated Marketplace Trade Dataset,
38,2025-02-21,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,104.7,23.1,5,0,3.0,Simulated Marketplace Trade Dataset,
39,2025-02-24,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,105.7,30.9,5,0,3.3,Simulated Marketplace Trade Dataset,
40,2025-02-25,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,108.9,29.6,5,0,2.8,Simulated Marketplace Trade Dataset,
41,2025-02-26,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,100.7,26.2,5,0,3.1,Simulated Marketplace Trade Dataset,
42,2025-02-27,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,102.1,24.1,5,0,3.0,Simulated Marketplace Trade Dataset,
43,2025-02-28,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,94.5,23.4,5,0,3.1,Simulated Marketplace Trade Dataset,
44,2025-03-03,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,99.2,28.9,5,0,2.5,Simulated Marketplace Trade Dataset,
45,2025-03-04,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,105.6,22.8,5,0,3.6,Simulated Marketplace Trade Dataset,
46,2025-03-05,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,101.7,28.9,5,0,2.9,Simulated Marketplace Trade Dataset,
47,2025-03-06,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,97.1,29.8,5,0,3.5,Simulated Marketplace Trade Dataset,
48,2025-03-07,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,91.2,28.4,5,0,3.6,Simulated Marketplace Trade Dataset,
49,2025-03-10,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,82.2,29.1,4,0,3.3,Simulated Marketplace Trade Dataset,
50,2025-03-11,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,99.8,35.5,5,0,2.8,Simulated Marketplace Trade Dataset,
51,2025-03-12,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,85.9,40.7,4,0,3.2,Simulated Marketplace Trade Dataset,Customs clearance delays at Laredo crossing
52,2025-03-13,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,95.4,40.4,5,0,3.6,Simulated Marketplace Trade Dataset,Customs clearance delays at Laredo crossing
53,2025-03-14,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,76.3,40.6,4,0,4.5,Simulated Marketplace Trade Dataset,Export volume declining — possible production slowdown at origin
54,2025-03-17,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,82.7,53.6,4,0,3.3,Simulated Marketplace Trade Dataset,Port congestion at Mobile increasing dwell times
55,2025-03-18,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,84.0,39.3,4,0,4.3,Simulated Marketplace Trade Dataset,
56,2025-03-19,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,82.0,41.4,4,1,4.1,Simulated Marketplace Trade Dataset,
57,2025-03-20,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,74.5,48.6,4,0,3.7,Simulated Marketplace Trade Dataset,Reduced truck availability on cross-border lane
58,2025-03-21,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,68.8,47.1,3,0,3.9,Simulated Marketplace Trade Dataset,Export volume declining — possible production slowdown at origin
59,2025-03-24,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,81.0,54.5,4,0,3.4,Simulated Marketplace Trade Dataset,Port congestion at Mobile increasing dwell times
60,2025-03-25,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,67.6,58.3,3,0,4.3,Simulated Marketplace Trade Dataset,Multiple shipments showing extended transit
61,2025-03-26,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,72.4,47.5,4,0,4.1,Simulated Marketplace Trade Dataset,Multiple shipments showing extended transit
62,2025-03-27,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,74.0,53.0,4,0,3.6,Simulated Marketplace Trade Dataset,Port congestion at Mobile increasing dwell times
63,2025-03-28,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,61.4,49.7,3,0,3.7,Simulated Marketplace Trade Dataset,Multiple shipments showing extended transit
64,2025-03-31,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,64.3,64.0,3,0,4.1,Simulated Marketplace Trade Dataset,
65,2025-04-01,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,61.3,55.1,3,0,4.2,Simulated Marketplace Trade Dataset,Multiple shipments showing extended transit
66,2025-01-02,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,105.8,32.3,5,1,5.8,Simulated Marketplace Trade Dataset,
67,2025-01-06,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,104.0,26.9,7,0,5.5,Simulated Marketplace Trade Dataset,
68,2025-01-10,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,112.1,44.5,6,0,8.5,Simulated Marketplace Trade Dataset,
69,2025-01-21,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,78.7,26.9,2,0,5.0,Simulated Marketplace Trade Dataset,
70,2025-01-23,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,103.3,25.6,8,0,10.6,Simulated Marketplace Trade Dataset,
71,2025-01-29,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,110.6,33.2,5,0,6.9,Simulated Marketplace Trade Dataset,
72,2025-01-30,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,102.0,33.1,6,0,7.4,Simulated Marketplace Trade Dataset,
73,2025-01-31,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,93.0,8.9,4,0,5.0,Simulated Marketplace Trade Dataset,
74,2025-02-03,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,113.3,19.4,4,0,7.0,Simulated Marketplace Trade Dataset,
75,2025-02-05,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,100.8,24.9,8,0,10.8,Simulated Marketplace Trade Dataset,
76,2025-02-07,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,111.5,15.4,2,0,5.9,Simulated Marketplace Trade Dataset,
77,2025-02-10,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,115.3,22.2,5,0,9.2,Simulated Marketplace Trade Dataset,
78,2025-02-12,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,101.6,40.3,6,0,3.3,Simulated Marketplace Trade Dataset,
79,2025-02-14,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,97.5,17.6,2,0,5.1,Simulated Marketplace Trade Dataset,
80,2025-02-19,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,101.1,27.5,2,0,10.2,Simulated Marketplace Trade Dataset,
81,2025-02-21,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,116.6,22.5,8,0,8.7,Simulated Marketplace Trade Dataset,
82,2025-02-28,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,100.1,32.3,2,0,9.3,Simulated Marketplace Trade Dataset,
83,2025-03-05,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,101.4,25.7,3,0,8.0,Simulated Marketplace Trade Dataset,
84,2025-03-06,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,97.6,39.3,5,0,6.7,Simulated Marketplace Trade Dataset,
85,2025-03-10,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,103.0,28.5,5,0,7.9,Simulated Marketplace Trade Dataset,
86,2025-03-19,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,99.3,25.8,3,0,5.0,Simulated Marketplace Trade Dataset,
87,2025-03-20,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,91.8,25.2,6,0,8.9,Simulated Marketplace Trade Dataset,
88,2025-03-21,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,115.4,24.0,5,0,7.1,Simulated Marketplace Trade Dataset,
89,2025-03-31,Tokyo,Japan,Long Beach CA,USA,NSG Group → Ohio,Flat Glass,85.7,29.8,8,0,8.8,Simulated Marketplace Trade Dataset,
90,2025-01-01,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,113.4,26.3,8,0,9.0,Simulated Marketplace Trade Dataset,
91,2025-01-03,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,103.7,34.2,4,0,10.6,Simulated Marketplace Trade Dataset,
92,2025-01-06,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,90.4,27.6,8,0,11.4,Simulated Marketplace Trade Dataset,
93,2025-01-08,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,92.0,26.9,4,0,5.0,Simulated Marketplace Trade Dataset,
94,2025-01-13,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,105.2,27.1,4,0,6.5,Simulated Marketplace Trade Dataset,
95,2025-01-17,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,102.5,41.4,8,0,9.7,Simulated Marketplace Trade Dataset,
96,2025-01-22,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,98.7,38.4,4,0,9.2,Simulated Marketplace Trade Dataset,
97,2025-01-23,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,93.1,29.7,2,0,6.9,Simulated Marketplace Trade Dataset,
98,2025-01-24,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,103.3,31.6,6,0,5.6,Simulated Marketplace Trade Dataset,
99,2025-01-28,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,110.9,30.2,4,0,6.6,Simulated Marketplace Trade Dataset,
100,2025-01-30,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,90.6,30.4,8,0,8.5,Simulated Marketplace Trade Dataset,
101,2025-01-31,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,90.2,22.6,3,0,6.7,Simulated Marketplace Trade Dataset,
102,2025-02-04,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,118.4,26.9,2,0,6.8,Simulated Marketplace Trade Dataset,
103,2025-02-07,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,105.5,25.7,2,0,12.2,Simulated Marketplace Trade Dataset,
104,2025-02-11,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,99.8,36.6,6,0,6.0,Simulated Marketplace Trade Dataset,
105,2025-02-13,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,108.6,20.2,7,0,8.9,Simulated Marketplace Trade Dataset,
106,2025-02-14,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,101.8,27.3,4,0,6.8,Simulated Marketplace Trade Dataset,
107,2025-02-19,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,92.6,21.8,2,0,11.7,Simulated Marketplace Trade Dataset,
108,2025-02-20,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,104.1,24.3,3,0,8.5,Simulated Marketplace Trade Dataset,
109,2025-02-27,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,105.7,28.8,8,0,13.4,Simulated Marketplace Trade Dataset,
110,2025-02-28,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,106.8,26.2,4,0,6.7,Simulated Marketplace Trade Dataset,
111,2025-03-03,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,96.1,20.7,2,0,8.4,Simulated Marketplace Trade Dataset,
112,2025-03-04,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,101.4,35.9,8,0,8.8,Simulated Marketplace Trade Dataset,
113,2025-03-05,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,96.6,35.9,2,0,9.8,Simulated Marketplace Trade Dataset,
114,2025-03-11,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,99.6,28.3,4,0,6.5,Simulated Marketplace Trade Dataset,
115,2025-03-12,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,107.6,29.7,2,0,10.5,Simulated Marketplace Trade Dataset,
116,2025-03-17,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,97.7,16.0,8,0,9.9,Simulated Marketplace Trade Dataset,
117,2025-03-18,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,93.5,32.2,4,1,7.5,Simulated Marketplace Trade Dataset,
118,2025-03-20,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,94.4,24.0,3,0,5.1,Simulated Marketplace Trade Dataset,
119,2025-03-24,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,82.1,20.5,4,0,10.0,Simulated Marketplace Trade Dataset,
120,2025-03-28,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,101.0,31.5,4,0,8.1,Simulated Marketplace Trade Dataset,
121,2025-03-31,Brussels,Belgium,Savannah GA,USA,Umicore → Alabama,Specialty Chemicals,101.8,33.7,4,0,6.7,Simulated Marketplace Trade Dataset,
122,2025-01-01,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,104.1,20.7,7,0,6.6,Simulated Marketplace Trade Dataset,
123,2025-01-03,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,101.7,23.0,8,0,11.5,Simulated Marketplace Trade Dataset,
124,2025-01-10,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,101.3,28.3,6,0,10.8,Simulated Marketplace Trade Dataset,
125,2025-01-14,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,116.6,29.1,2,0,6.9,Simulated Marketplace Trade Dataset,
126,2025-01-15,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,103.5,32.4,7,0,7.3,Simulated Marketplace Trade Dataset,
127,2025-01-20,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,107.3,22.6,8,0,4.2,Simulated Marketplace Trade Dataset,
128,2025-01-22,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,104.8,21.3,5,0,6.5,Simulated Marketplace Trade Dataset,
129,2025-01-23,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,101.8,39.5,5,0,10.6,Simulated Marketplace Trade Dataset,
130,2025-01-27,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,90.4,23.0,2,0,9.8,Simulated Marketplace Trade Dataset,
131,2025-01-31,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,103.3,26.4,8,0,9.7,Simulated Marketplace Trade Dataset,
132,2025-02-04,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,110.8,14.3,2,0,10.1,Simulated Marketplace Trade Dataset,
133,2025-02-07,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,108.1,24.0,2,0,10.7,Simulated Marketplace Trade Dataset,
134,2025-02-17,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,93.1,22.8,2,0,9.8,Simulated Marketplace Trade Dataset,
135,2025-02-24,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,97.1,22.5,6,1,13.9,Simulated Marketplace Trade Dataset,
136,2025-02-25,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,107.8,28.6,8,0,10.5,Simulated Marketplace Trade Dataset,
137,2025-02-27,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,110.9,26.9,3,0,4.3,Simulated Marketplace Trade Dataset,
138,2025-03-03,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,91.6,33.0,2,0,7.6,Simulated Marketplace Trade Dataset,
139,2025-03-05,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,98.4,21.3,2,0,5.4,Simulated Marketplace Trade Dataset,
140,2025-03-11,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,96.5,26.2,4,0,7.0,Simulated Marketplace Trade Dataset,
141,2025-03-12,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,111.6,27.3,7,0,8.0,Simulated Marketplace Trade Dataset,
142,2025-03-13,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,90.2,14.9,4,0,10.3,Simulated Marketplace Trade Dataset,
143,2025-03-21,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,85.2,15.6,4,0,7.5,Simulated Marketplace Trade Dataset,
144,2025-03-24,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,94.7,26.5,8,0,5.7,Simulated Marketplace Trade Dataset,
145,2025-03-26,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,96.3,30.8,8,0,5.9,Simulated Marketplace Trade Dataset,
146,2025-03-31,Montreal,Canada,Toledo OH,USA,5N Plus → Ohio,Semiconductor Materials,99.8,45.3,2,0,8.1,Simulated Marketplace Trade Dataset,
