bom_id,product_id,product_name,material_id,qty_per_unit,unit_of_measure
53,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-015,1.1,SET
54,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-016,1.1,EACH
55,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-017,1.1,PAIR
56,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-018,0.0055,REEL
57,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-019,3.3,EACH
58,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-020,2.75,METER
59,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-021,1.98,METER
60,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-022,0.0088,ROLL
61,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-023,0.0165,BOTTLE
62,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-024,0.0022,DRUM
63,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-025,0.0011,DRUM
64,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-027,0.0022,EACH
65,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-028,0.044,EACH
66,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-029,1.1,SET
67,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-030,0.0022,ROLL
68,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-031,0.0033,ROLL
69,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-032,1.1,EACH
70,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-038,0.0033,ROLL
71,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-039,0.0022,ROLL
72,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-040,0.55,ROLL
73,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-047,1.1,BAG
74,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-048,1.1,EACH
75,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-049,0.011,EACH
76,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-050,0.011,ROLL
